,SGPMARGIN
IC_mean,0.014816935329447264
IC_std,0.1403324676866887
IR_mean,0.1606031967921357
IR_std,0.721525183660685
Rank_IC_mean,0.023567051562384884
Rank_IC_std,0.14932623251324437
IC_isPositive,0.546583850931677
IC_bigger005,0.7577639751552795
IC_Posbigger005,0.7613636363636364
IC_Negbigger005,0.7534246575342466
Long_mean,0.015029841243310322
Long_std,0.08908205589782413
Short_mean,0.012967645200081363
Short_std,0.10593010408187739
LS_mean,0.0020621960432289504
LS_std,0.043872113161360214
