,MV
IC_mean,-0.0006366150444216832
IC_std,0.14663540441923234
IR_mean,-0.017330915328197954
IR_std,0.8085175953504259
Rank_IC_mean,0.004631551571237923
Rank_IC_std,0.21463441599950286
IC_isPositive,0.4968944099378882
IC_bigger005,0.6770186335403726
Long_mean,0.014796252701379022
Long_std,0.09177548544151405
Short_mean,0.016008462461489764
Short_std,0.10259225416929899
