,BM
IC_mean,0.027277282898548753
IC_std,0.2133253633764493
IR_mean,0.17356440247014543
IR_std,0.5917861017011926
Rank_IC_mean,0.04443313391146115
Rank_IC_std,0.2329585191549366
IC_isPositive,0.515527950310559
IC_bigger005,0.8198757763975155
Long_mean,0.019607625781423645
Long_std,0.09888919345481882
Short_mean,0.011426662043888841
Short_std,0.0942534126149541
