,ROEAVG
IC_mean,0.05220461289291196
IC_std,0.17763602432989384
IR_mean,0.38259897040410407
IR_std,0.7320221434328072
Rank_IC_mean,0.06274183576751918
Rank_IC_std,0.18924638751344788
IC_isPositive,0.6149068322981367
IC_bigger005,0.8260869565217391
IC_Posbigger005,0.8484848484848485
IC_Negbigger005,0.7903225806451613
Long_mean,0.02201580470645431
Long_std,0.09540274881695136
Short_mean,0.01003662304996854
Short_std,0.10485953303438916
LS_mean,0.011979181656485753
LS_std,0.05445555037291037
