,ROIC
IC_mean,0.04027970934344186
IC_std,0.1768709801661283
IR_mean,0.2773443577860474
IR_std,0.6709807821524785
Rank_IC_mean,0.038120956434728084
Rank_IC_std,0.1976080500219964
IC_isPositive,0.5900621118012422
IC_bigger005,0.8012422360248447
Long_mean,0.02155395855805197
Long_std,0.09307597254632079
Short_mean,0.011115529666464818
Short_std,0.1070516263428421
