,IC,Rank_IC,Long,Short,LS,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.010579722880396276,-0.09639727361246349,0.05437105079265278,0.05320274753495896,0.0011683032576938202,,,
2006-01-25,0.2935046562579058,0.23302014441254948,0.15554051077330627,0.08914201809984007,0.0663984926734662,,,
2006-02-28,0.06769552064667765,0.20480796586059744,0.045878155356638306,0.016020489170293608,0.029857666186344698,,,
2006-03-31,0.1283263076923317,0.16255023748629888,0.041094603237779366,-0.02646023847287207,0.06755484171065143,,,
2006-04-28,0.24548603555530749,0.17724612515274293,0.09038426489315048,0.0062794646731684,0.08410480021998208,,,
2006-05-31,-0.16477621929880878,-0.24212496364395097,0.16358016115181134,0.26730130360987436,-0.10372114245806302,,,
2006-06-30,0.135192093510069,0.1813911472448058,0.02449795550113959,-0.01152996911602771,0.0360279246171673,,,
2006-07-31,0.19801006554683825,0.14902629016553068,-0.0318966740865253,-0.07375519097405639,0.04185851688753109,,,
2006-08-31,0.31542595713361055,0.24901581978566742,0.04940578065688921,0.004153672996336473,0.04525210766055274,,,
2006-09-29,-0.21172019952196158,-0.10463057541709227,0.005354466394631675,0.04242078741217048,-0.0370663210175388,0.09965644946415739,0.18172372833773137,0.548395360230267
2006-10-31,-0.022784850058149463,0.057957772564514135,0.020282078587752675,0.02219484346146839,-0.0019127648737157152,0.09843593674638208,0.18258531722375126,0.539122960395291
2006-11-30,0.07173703271762175,0.04550087593565855,0.0918605857482495,0.11477952415479035,-0.022918938406540856,0.07625917439235368,0.16923997454327716,0.45059788385192107
2006-12-29,0.1095737197153092,-0.106726149622512,0.07093981824327675,0.10297575198099708,-0.03203593373772033,0.08044699429921684,0.16952242239747065,0.47455075948948416
2007-01-31,-0.05402319937106735,-0.0014771269135507744,0.2130188266670114,0.24215005011882784,-0.02913122345181643,0.06221204359287693,0.17355925511403858,0.3584484362530824
2007-02-28,-0.07462561787957508,0.03847990212169138,0.10433700679511988,0.11823866146874151,-0.01390165467362163,0.030200878249388673,0.16532573158686265,0.18267500140182982
2007-03-30,0.09956171625650613,0.15588911103816658,0.09353507653638252,0.09070293760083555,0.002832138935546971,0.05663467180492017,0.15121756974121311,0.37452441473462494
2007-04-30,0.12401622080430526,0.07406523231177822,0.38587052571417896,0.3327837380070605,0.053086787707118444,0.0555170845343438,0.15061256226692318,0.3686085921302741
2007-05-31,0.02392425709525385,0.11811047118856495,0.11764387093846429,0.09488470008541632,0.022759170853047975,0.03810850368918535,0.14213474258635914,0.2681153319430761
2007-06-29,-0.022698675596041627,0.08337560800931038,-0.12199807557567165,-0.1404402315523529,0.018442155976681265,0.0042960404162201375,0.10391250688957497,0.0413428618441996
2007-07-31,0.025766244926342774,0.014830951031004744,0.18853400144323024,0.20849767097005487,-0.01996366952682463,0.02804468486105057,0.07097593835447988,0.3951294693841894
2007-08-31,-0.09516287631476637,-0.1001959686450168,0.11147313150245142,0.14207800832580755,-0.030604876823356136,0.02080688223538888,0.07986854343231792,0.2605141065708932
2007-09-28,0.013772812874283257,-0.1312010078387458,0.0940026700897227,0.07945560083950985,0.014547069250212846,0.01501046025105503,0.07783920098898309,0.19283934136450764
2007-10-31,0.13359160110584353,0.15114691326807067,-0.09299871498172563,-0.11758497248814367,0.024586257506418047,0.017412248390108458,0.08137161801041777,0.21398429594799526
2007-11-30,0.02816538569017469,0.13497060666646774,-0.1251665870601693,-0.16253468940320462,0.03736810234303531,0.025631106896232665,0.07740885132579953,0.33111338635366233
2007-12-28,0.06634209069409222,0.22764166989943602,0.21709445502596275,0.17162358395737956,0.04547087106858319,0.03972787775359939,0.06956049024265308,0.5711270523685738
2008-01-31,0.03569158944225875,0.08864253528692072,-0.08271721753226653,-0.08042539421684579,-0.0022918233154207435,0.03334086507217466,0.06631257657538579,0.5027834355715606
2008-02-29,0.18169506144616657,0.10086814975583289,0.08656372513897775,0.04975805287931789,0.03680567225965986,0.039108749136360796,0.07676116124957062,0.5094861581002926
2008-03-31,-0.11492251135056665,-0.03722192078133478,-0.2357566190136694,-0.23406645238753426,-0.0016901666261351367,0.025224072291778744,0.09104193221032443,0.27705994017686564
