,IC,Rank_IC,Long,Short,LS,LongP,ShortP,LSP,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.1615924353607109,-0.21829087031866098,0.035294641191200946,0.07254482327219389,-0.03725018208099294,1.035294641191201,1.072544823272194,0.962749817919007,,,
2006-01-25,0.06964832696546903,0.09304696287964004,0.10323099737039268,0.08862264535926528,0.014608352011127396,1.1421691395735913,1.1675965827769614,0.9768140061578167,,,
2006-02-28,-0.17065295254209964,-0.15867397806580258,0.011185086399816498,0.054583992828248724,-0.04339890642843223,1.1549444000829259,1.231328666277547,0.9344213465065916,,,
2006-03-31,0.039928913057407416,0.025596213127652166,0.01131292763105822,-0.021689187214770617,0.03300211484582884,1.1680102024989598,1.2046221483117394,0.9652592270983962,,,
2006-04-28,0.11951535761142501,0.07444266962983541,0.13878244077356472,0.05782150302589001,0.08096093774767471,1.3301095092501911,1.2742752115054008,1.043407519293878,-0.02063055805370182,0.1358635105548281,-0.1518476739593469
2006-05-31,-0.05775982239893721,0.00662103018740882,0.1973214733987313,0.18073451630409848,0.016586957094632815,1.5925686773971024,1.5045807254951322,1.060714475048623,0.0001359645386529218,0.11531225337657715,0.0011790987919462483
2006-06-30,0.011670208655114268,-0.016372020086993858,0.011585760588538399,0.020399332757470915,-0.008813572168932516,1.6110197968142304,1.5352731683749845,1.0513657914721506,-0.011459659123418032,0.10933485369697407,-0.10481249789915059
2006-07-31,-0.037727727551112325,0.047232157155821276,-0.06102524629049578,-0.06811083073212834,0.007085584441632563,1.5127069169347775,1.4307044374762177,1.0588153325666705,0.015125385874779431,0.0700537732627757,0.2159110804502028
2006-08-31,-0.000170414037751609,0.07081608961704193,0.03491911698944275,0.029016229449750998,0.005902887539691752,1.5655293067379623,1.4722180857088043,1.065065400400113,0.007105520455747626,0.06878822559307926,0.10329559157087063
2006-09-29,0.13909431475394865,0.07979215354780966,0.07282052816249285,0.035870394727288785,0.03695013343520406,1.6795319777084823,1.5250271295678324,1.1044197090621162,0.011021311884252354,0.07686950490823168,0.14337690736280678
2006-10-31,-0.25126202617422494,-0.3313691034454327,-0.015694764500398053,0.06725491660027912,-0.08294968110067717,1.6531721188474597,1.62759270198008,1.012808446394111,-0.027679128870805193,0.14160576220265841,-0.19546611974159878
2006-11-30,-0.06897795627025893,-0.09031571876399462,0.11092662007765491,0.15385805733396238,-0.042931437256307464,1.8365529143978236,1.8780109532376696,0.9693271241250839,-0.04380876185587983,0.14059264297577811,-0.3116006707650228
2006-12-29,-0.1345814522180582,-0.16797449836394798,0.08701239373395314,0.16512896891609996,-0.07811657518214682,1.9963557796986462,2.188124965558948,0.8936066089572726,-0.06317950678926901,0.14610932428891943,-0.43241255886131275
2007-01-31,0.08702497734339026,0.028863147838547886,0.2127094615067282,0.19081731012159023,0.021892151385137976,2.4209995425741897,2.6056570856968038,0.913169580119325,-0.045740428513040624,0.16004872117985305,-0.28579065284526894
2007-02-28,-0.18819783320840044,-0.1755743577136567,0.09380241753788315,0.14103808438890506,-0.0472356668510219,2.648095152525758,2.973153969637858,0.8700354060543211,-0.11119885810551045,0.12958450178901354,-0.8581184985112018
2007-03-30,-0.05145555868752865,0.005000732324817442,0.10184910098260233,0.10353730329324484,-0.0016882023106425115,2.9178012631268935,3.280986313929768,0.8685666102714794,-0.07123756460817118,0.10384558043271101,-0.6859951507934524
2007-04-30,0.04683461691992926,-0.03343550417105973,0.39323150058443695,0.31401676285701163,0.07921473772742532,4.065172632233447,4.311271015208153,0.9373698865029334,-0.048075049970133545,0.11660729190407007,-0.4122816779733097
2007-05-31,0.07189684238173379,0.031138821157031597,0.12553510901060932,0.08936804249364069,0.03616706651696863,4.575494521767819,4.696560866496877,0.9712718055390883,-0.006779391050175149,0.11486109240866184,-0.059022519358033765
2007-06-29,-0.22295212785444193,-0.16464230684569667,-0.1297155290410767,-0.06608961712366887,-0.06362591191740782,3.981981829252158,4.386166957032091,0.9094737511919966,-0.0687748120897416,0.1336848099594809,-0.5144549489997169
2007-07-31,-0.05680592959271403,-0.06839848701907716,0.16574496412097914,0.19199985398232586,-0.02625488986134672,4.641975264671948,5.228310372324355,0.8855956180226648,-0.042496431366604304,0.1160981732883633,-0.36603875980935685
2007-08-31,-0.2925376195563514,-0.4040514898199908,0.08945056652300046,0.22152737769029165,-0.1320768111672912,5.057202581882609,6.386524258856322,0.7686289728105048,-0.09071284354036885,0.16181112537308395,-0.5606094348037841
2007-09-28,-0.27070144729822226,-0.3282611603238783,-0.012922392767321446,0.11052813373537224,-0.12345052650269368,4.99185142381561,7.092414866243392,0.6737413214318233,-0.15422005638399916,0.156558395148431,-0.9850641113035498
2007-10-31,-0.17964429627536507,-0.17926888384896383,-0.08222085414585605,0.003274862789772185,-0.08549571693562823,4.581417135980283,7.115641551778481,0.616139324126852,-0.20452828411541893,0.09341450040685345,-2.189470405821637
2007-11-30,-0.12812546956969034,-0.06882966692165046,-0.13268110015356044,-0.12413691110234569,-0.008544189051214748,3.9735496701160455,6.232327789029198,0.6108749132596245,-0.1855629524584686,0.09824027760184026,-1.8888683642623643
2007-12-28,0.19603274060056028,0.2309964173757277,0.19836851080382967,0.14202346127382953,0.056345049530000135,4.761776800782014,7.117464553420199,0.6452946905038727,-0.1349952184198137,0.1967587558204679,-0.6860951008604151
2008-01-31,0.11489365981985433,0.10719331151446382,-0.08793218805777524,-0.11792765694130769,0.029995468883532453,4.343063347646499,6.278118635272544,0.6646506073135903,-0.05350896254457258,0.19955000989555324,-0.2681481327541892
