,IC,Rank_IC,Long,Short,LS,LongP,ShortP,LSP,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.056614535904074836,-0.08812666207032405,0.06806590985725355,0.06660597823185514,0.0014599316253984113,1.0680659098572536,1.066605978231855,1.0014599316253985,,,
2006-01-25,0.10950393511293577,0.15979922046615497,0.10691393398804236,0.06172571742669174,0.04518821656135062,1.1822570380386104,1.1324429974498147,1.0467141198932024,,,
2006-02-28,0.043107001183523834,-0.05442739079102715,0.054568654977235266,0.04743705369606621,0.007131601281169055,1.2467712144417475,1.1861627567275757,1.0541788676516506,,,
2006-03-31,0.1397157115342496,0.2483909661941675,0.04932491439620184,-0.0012490219493065053,0.050573936345508344,1.3082680978657353,1.184681213408973,1.1074928426010453,,,
2006-04-28,0.20205159062505915,0.2284857571214393,0.19877457493624137,0.07035701837844888,0.1284175565577925,1.5683185329216418,1.2680318513133915,1.2497143673531155,0.0875527405103387,0.09883375498934154,0.8858586878519449
2006-05-31,-0.13208786050867188,-0.2982548915917504,0.13596985618941945,0.25019424551743596,-0.11422438932801651,1.7815625783021987,1.585286123644823,1.1069665069077574,0.07245807558941929,0.12785831023347766,0.56670603152119
2006-06-30,-0.0821812739794471,-0.24571428571428572,-0.012348138060618663,0.04063243540522185,-0.052980573465840515,1.7595635976216915,1.649700159662616,1.0483187865643062,0.03412103377094271,0.14193597045263817,0.24039736834947253
2006-07-31,-0.002396918049156419,0.0009589781781454994,-0.06518987868533081,-0.06747459813175972,0.0022847194464289122,1.6448578601536092,1.538387304351481,1.0507139008820263,0.025020249924406657,0.1426726766895268,0.17536819596406522
2006-08-31,0.09784795656969099,0.08335093230843899,0.058526971620811996,0.028446203623443522,0.030080767997368474,1.741126409455089,1.582148582862784,1.0823201819660686,0.01664669893149493,0.13529617035893804,0.12303895141548775
2006-09-29,-0.0064865420718899355,-0.017836969730277662,0.03309453376470304,0.027432114452633723,0.005662419312069317,1.7987481762014166,1.625550263868948,1.0884487326662757,-0.02506092760789489,0.08758247152377507,-0.2861409043599765
2006-10-31,-0.18788669206215822,-0.05254608850703159,-0.007039787701520515,0.01708044922426357,-0.024120236925784085,1.7860853709124616,1.6533153926124498,1.0621950913527958,-0.03622069391859216,0.10620442617456256,-0.34104693394847907
2006-11-30,0.1130881327846021,0.23105043040484974,0.1649104909715341,0.1004990820024314,0.06441140896910269,2.08062958634671,1.8194720718304904,1.1306125737868942,0.002833187434217679,0.12007522967355708,0.02359510318589549
2006-12-29,0.06348410942128714,0.3077331146346634,0.13599953239628904,0.04680323762960678,0.08919629476668225,2.363594237179747,1.9046292555688058,1.2314590261853073,0.01600939292830639,0.12293836006616489,0.13022292569780666
2007-01-31,-0.08076552546118827,-0.2317259029215551,0.18765724892325683,0.2829977613463517,-0.09534051242309485,2.807139829299762,2.4436350710895463,1.1140510916007549,-0.01971330347786946,0.11910356904895984,-0.16551396096086696
2007-02-28,-0.11063854166323332,-0.27145306389782514,0.09155980927003163,0.19037056578776626,-0.09881075651773463,3.0641610166647575,2.9088312621516916,1.0039708604402762,-0.040543703396138144,0.12516545505729684,-0.32392087239708833
2007-03-30,-0.04940050243649629,-0.15077611154959222,0.0640749145252135,0.10251830601473776,-0.03844339148952426,3.260496871899043,3.207039715630194,0.9653748156082961,-0.012846465471005758,0.09643438986637519,-0.13321456680346638
2007-04-30,-0.0074721161065582015,0.20975460747378066,0.3209813204380278,0.24295504780474247,0.07802627263328532,4.307055463125257,3.9862062030528356,1.0406994141642565,-0.03695851524923782,0.06793521190507591,-0.5440259066370321
2007-05-31,-0.1608959294320988,-0.13960615594556688,0.061995225796632907,0.1382670957322826,-0.07627186993564969,4.574072339080329,4.537367357738961,0.9613233238050135,-0.081834523019915,0.05844496018223248,-1.40019811399911
2007-06-29,-0.01783209535533919,-0.1545372753332078,-0.0996080931127166,-0.029533941501471657,-0.07007415161124494,4.118457715624914,4.403361015624811,0.893959407465275,-0.06924783699874519,0.06512737164397948,-1.0632677974061404
2007-07-31,-0.20273774534146363,-0.41424392865212106,0.12846403738649642,0.27719985997339874,-0.14873582258690232,4.647531421579658,5.623972072568331,0.7609956196366275,-0.08766767773439124,0.08856665665207161,-0.9898496911629853
2007-08-31,0.1805494809100517,0.21119998931681,0.23357950940295696,0.11437852994563577,0.1192009794573212,5.733099530967062,6.267233730684007,0.8517070428600446,-0.04167768106508165,0.15106031841611042,-0.27590092157939455
2007-09-28,0.17617882715954525,0.23908734892222316,0.16966189431809653,0.009805303316677715,0.1598565910014188,6.705788057705124,6.328685858369877,0.9878580272635508,-0.0049474924118609615,0.18084716123642633,-0.02735731309264497
2007-10-31,0.00755420173919108,-0.009477760012328794,-0.051892057019269175,-0.06599763301723229,0.01410557599796311,6.357810921455556,5.911007571607834,1.0017923337423147,0.028742533822397016,0.1588899547787417,0.1808958524937698
2007-11-30,-0.31551106967640846,-0.4671582871867975,-0.21442175330679897,-0.09360747054158475,-0.12081428276521422,4.994557956483941,5.357693104477469,0.8807615114615468,-0.030793261041816837,0.2233846816629683,-0.13784857946650156
2007-12-28,-0.0030104522476457523,0.017395852949176657,0.1813915579487189,0.1696159217699267,0.011775636178792181,5.900528605475733,6.266443158953795,0.8911330385808011,0.009152197576946736,0.20176201604165236,0.045361350746303646
2008-01-31,-0.006579611335101937,0.018604380419212294,-0.12425985500285908,-0.1278564491541764,0.0035965941513173283,5.167329776519097,5.465237987823483,0.8943380824554065,-0.028273620872083995,0.17797376640501364,-0.15886398003030355
