,EMA26
IC_mean,-0.023104827168586743
IC_std,0.14650915795682612
IR_mean,-0.22559189876464225
IR_std,0.5892190389860906
Rank_IC_mean,-0.04005094014018542
Rank_IC_std,0.1817404389478746
IC_isPositive,0.453416149068323
IC_bigger005,0.8012422360248447
IC_Posbigger005,0.7534246575342466
IC_Negbigger005,0.8409090909090909
Long_mean,0.009761426566261371
Long_std,0.09700493668995007
Short_mean,0.021471425769114434
Short_std,0.09605438047391802
LS_mean,-0.011709999202853072
LS_std,0.05135138670764841
