,NPGRT
IC_mean,0.050104784765350685
IC_std,0.1253861716333161
IR_mean,0.5029061236861874
IR_std,0.6521371013627243
Rank_IC_mean,0.07408338436684991
Rank_IC_std,0.15151045779074268
IC_isPositive,0.6956521739130435
IC_bigger005,0.7329192546583851
IC_Posbigger005,0.7589285714285714
IC_Negbigger005,0.673469387755102
Long_mean,0.023295881268741596
Long_std,0.1002288948034709
Short_mean,0.006481475245348122
Short_std,0.10579913731833314
LS_mean,0.016814406023393482
LS_std,0.037925490683640886
