,BM,MV,ROIC
2008-12-31,2.13085922381199,-0.8020649382596428,-0.3287942855523474
2009-01-23,6.5533807262281085,-4.596055071105905,-0.9573256551222044
2009-02-27,3.0576104523698646,-1.8939402780555858,-0.16367017431427855
2009-03-31,3.0891630633919993,-1.9121819184323248,-0.1769811449596744
2009-04-30,3.5596832734916584,-3.191421631159493,0.6317383576678349
2009-05-27,1.2140795202282868,-1.2169784226020444,1.0028989023737578
2009-06-30,1.1610681553560345,-0.8847797730071627,0.7237116176511282
2009-07-31,1.500106313581456,-0.8644794796292606,0.36437316604780473
2009-08-31,1.4955985238885512,-0.8532646044466504,0.35766608055809923
2009-09-30,1.6048371530166516,-1.3314922651838756,0.726655112167224
2009-10-30,1.1678055023076006,-0.7678889803507988,0.6000834780431982
2009-11-30,2.2101123608939104,-2.211446687242452,1.0013343263485417
2009-12-31,1.8582467857432816,-2.4046270472331854,1.546380261489904
2010-01-29,1.1338010666418594,-0.7174002387762478,0.5835991721343885
2010-02-26,0.9890723013624219,-0.5518456037024263,0.5627733023400044
2010-03-31,0.919097282473273,-0.4528425630785291,0.5337452806052561
2010-04-30,0.8914211957656958,-0.6080256835405842,0.7166044877748885
2010-05-31,1.1575352356122222,-1.6891300566955083,1.5315948210832862
2010-06-30,0.5443162967640344,-1.0820637921243563,1.5377474953603218
2010-07-30,0.8944988599821463,-0.8754111390850743,0.9809122791029281
2010-08-31,0.6473924158276604,-0.6076202575786314,0.960227841750971
2010-09-30,0.15172125463397365,-2.8742660546946297,3.722544800060656
2010-10-29,-4.484729311479884,-8.629601717348041,14.114331028827925
2010-11-30,-5.078222379709207,-7.3310533029940546,13.409275682703262
2010-12-31,-4.168213364122184,-3.928529155738137,9.096742519860321
2011-01-31,-2.304350682383274,-2.0236228742431686,5.327973556626443
2011-02-28,-0.9724745548312035,-1.0477497949968222,3.0202243498280255
2011-03-31,-2.337153507426394,-1.5066472966921678,4.843800804118562
2011-04-29,-0.5954810873759533,-0.41110889803790174,2.006589985413855
2011-05-31,-0.1277137062119909,-0.2149527597253315,1.3426664659373224
2011-06-30,-0.1733806644007404,-0.12498716394725747,1.298367828347998
2011-07-29,-0.44439187091999316,-0.4003933796863808,1.844785250606374
2011-08-31,-0.675370552203903,-0.4130373502903862,2.088407902494289
2011-09-30,-0.8477433868896878,-0.32987344875740165,2.1776168356470893
2011-10-31,-0.526938611582142,-0.2953983797737715,1.8223369913559135
2011-11-30,-0.23805486215533847,-0.15994812476686815,1.3980029869222066
2011-12-30,-0.3990699825579526,-0.007231672254344586,1.406301654812297
2012-01-31,-0.29570741837872283,0.02889308095504284,1.26681433742368
2012-02-29,-0.331520600428248,0.11878104964263687,1.2127395507856111
2012-03-30,-0.3549951208647847,0.0757635665824844,1.2792315542823003
2012-04-27,-0.2904285706720061,0.0623923249914563,1.22803624568055
2012-05-31,-0.19452163202554779,0.032947898833395085,1.1615737331921527
2012-06-29,-0.20892732339983783,-0.11323481053078699,1.3221621339306249
2012-07-31,-0.37073375095137273,-0.10803980565216814,1.478773556603541
2012-08-31,-0.2539661735205657,0.09509313050227707,1.1588730430182888
2012-09-28,-0.02984277198485109,0.1791184190707378,0.8507243529141133
2012-10-31,0.06759964539662608,0.17484171821078054,0.7575586363925935
2012-11-30,0.20616003884748313,0.1741974106238166,0.6196425505287003
2012-12-31,0.3637125613202154,0.2117857655829187,0.42450167309686593
2013-01-31,0.435456037583499,0.1983928778116055,0.36615108460489554
2013-02-28,0.3768953514314652,0.21077388637263642,0.4123307621958984
2013-03-29,0.35723208852386884,0.1979579188027203,0.4448099926734109
2013-04-26,0.20471706059123898,0.17878329548568703,0.6164996439230741
2013-05-31,0.0564479536806471,0.20541386262142344,0.7381381836979295
2013-06-28,-0.17386121431657886,0.1149186427712126,1.0589425715453662
2013-07-31,-0.1489613795622873,0.23451892278157313,0.9144424567807142
2013-08-30,0.0153371369630402,0.2562512709056093,0.7284115921313505
2013-09-30,0.3386022080599273,0.16034584907936714,0.5010519428607055
2013-10-31,0.010027332920370498,0.006277711227211316,0.9836949558524183
2013-11-29,0.021732483602072417,0.006769967812837063,0.9714975485850904
2013-12-31,0.2927171721159973,-0.15581977306405387,0.8631026009480566
2014-01-30,-1.5922425338827755,-1.643848106107864,4.236090639990639
2014-02-28,-8.708512182492235,-6.059045284375589,15.767557466867824
2014-03-31,-1.8520973643780563,-0.5455238693329469,3.3976212337110034
2014-04-30,-0.07467084058243204,-0.33651492487270573,1.4111857654551379
2014-05-30,-0.15292892700967786,0.00813520539344301,1.1447937216162347
2014-06-30,0.16388532138755618,0.13294437624176283,0.7031703023706809
2014-07-31,0.05105027894134591,0.060355629092444116,0.88859409196621
2014-08-29,0.9927090452037353,-0.42480269377834384,0.43209364857460864
2014-09-30,-4.0649159684184175,8.240654747191668,-3.1757387787732503
2014-10-31,-3.0341684329073453,2.6180457231210545,1.4161227097862907
2014-11-28,-1.854646588271368,1.349725269705851,1.5049213185655168
2014-12-31,-0.6351711381354892,0.6819287170836384,0.9532424210518508
2015-01-30,-10.547286714388614,2.697082169417412,8.850204544971202
2015-02-27,14.53982868734852,-7.719466377472576,-5.820362309875943
2015-03-31,-4.882757513787146,2.9529134451165775,2.9298440686705685
2015-04-30,-1.7956044762931993,1.3972484762769364,1.3983560000162631
2015-05-29,-3.018421050832229,1.9585790603388027,2.059841990493426
2015-06-30,-1.6354476042261084,1.4902614041076403,1.1451862001184683
2015-07-31,-7.47714905702154,3.9803771921433313,4.496771864878209
