,EVEBITDA
IC_mean,-0.021782778700824314
IC_std,0.1425726870484858
IR_mean,-0.18588078196642932
IR_std,0.5447202818349365
Rank_IC_mean,-0.035382111007956414
Rank_IC_std,0.17706150823213637
IC_isPositive,0.43478260869565216
IC_bigger005,0.7329192546583851
IC_Posbigger005,0.7
IC_Negbigger005,0.7582417582417582
Long_mean,0.011526277812791362
Long_std,0.09950330326949453
Short_mean,0.01661629465318604
Short_std,0.09845575811950263
LS_mean,-0.005090016840394668
LS_std,0.05001113590916716
