,IC,Rank_IC,Long,Short,LS,RollingIC-mean,RollingIC-std,IR
2005-12-30,0.045400505365023214,0.0371713729308666,0.05968120226599083,0.06168451231157551,-0.002003310045584683,,,
2006-01-25,0.281575745458333,0.37712919991401006,0.13640974245818863,0.05818925735257545,0.07822048510561318,,,
2006-02-28,0.02314938952379874,-0.0590896159317212,0.04568568892924388,0.05072562473294315,-0.005039935803699269,,,
2006-03-31,-0.14160390209576307,-0.03796127146510778,-0.03188609119613781,0.01370277759502249,-0.0455888687911603,,,
2006-04-28,0.197398537375502,0.1761849636632581,0.11027419963877637,0.034966601320840916,0.07530759831793546,,,
2006-05-31,-0.10345211314599037,-0.05451510514801654,0.2216963874628945,0.23210670424590818,-0.010410316783013684,,,
2006-06-30,0.2732790837587149,0.16689250225835592,0.06875181486752667,0.021441583009701205,0.047310231857825465,,,
2006-07-31,0.02913897658845378,0.051801363193768254,-0.07057303696464653,-0.046881849257685584,-0.02369118770696095,,,
2006-08-31,-0.053982723796678594,-0.0032076984763432237,0.021033470393710056,0.0334831260132952,-0.012449655619585144,,,
2006-09-29,-0.20073586236673308,-0.26200204290091933,0.00485562800381643,0.03595032728174689,-0.031094699277930456,0.03501676366646606,0.16933858555593517,0.20678549753741435
2006-10-31,0.11007486516735643,0.12380952380952381,0.039475394187819396,0.01772636836398534,0.021749025823834055,0.04148419964669938,0.17100605195607502,0.24258907314786204
2006-11-30,0.0004278236606060808,-0.02339544513457557,0.12453353285213546,0.160508929916119,-0.03597539706398355,0.013369407466926686,0.14881938661650237,0.08983646399093659
2006-12-29,-0.0015063470281095888,0.029453015427769985,0.07560034142176576,0.0824728054801271,-0.006872464058361338,0.010903833811735852,0.14884359351886434,0.07325699114052837
2007-01-31,0.12856696868096268,0.16185730058786668,0.2438946229343743,0.1862624040741503,0.057632218860224016,0.037920920889408426,0.14246890960583383,0.26616979798837204
2007-02-28,-0.19314757159136905,-0.16888484378263854,0.09718291201265554,0.1292200468186019,-0.032037134805946374,-0.0011336900072786787,0.14734065727377585,-0.007694346070223866
2007-03-30,-0.20092107921702126,-0.29876756885798694,0.07520480754463463,0.13367021963944967,-0.05846541209481504,-0.010880586614381769,0.15771963339059444,-0.06898688755784686
2007-04-30,-0.14269103454703616,-0.10087732386380592,0.2869445644989486,0.37516569390898685,-0.08822112941003823,-0.05247759844495688,0.1261407973465901,-0.41602399500271975
2007-05-31,-0.016548800037490458,0.026215272597057682,0.15323615032511234,0.17920696001690176,-0.025970809691789415,-0.0570463761075513,0.12365920136434984,-0.46131929915566644
2007-06-29,0.08032964839361316,0.14435558473337112,-0.0884919814896288,-0.11189752855115366,0.023405547061524867,-0.04361513888852212,0.13109927855914033,-0.3326878634869592
2007-07-31,-0.06784304298514936,-0.09134314105816001,0.17181951904884551,0.20504681284065404,-0.033227293791808526,-0.030325856950363744,0.11963704693540746,-0.2534821589731883
2007-08-31,0.2181190383235707,0.2622340425531915,0.16353509595144095,0.10734462194891838,0.05619047400252257,-0.019521439634742316,0.1373003018027038,-0.14218060250729825
2007-09-28,0.1782816449967628,0.17833146696528557,0.09826522641070269,-0.008859424452336591,0.10712465086303928,-0.001736057501126644,0.15100671246424993,-0.011496558482707494
2007-10-31,0.04871836746454469,-0.029714987537477873,-0.07723414901031007,-0.07963307084417102,0.002398921833860951,0.0032864139481387847,0.151848092557615,0.021642773990669894
2007-11-30,-0.04515908193548884,-0.03815165169645788,-0.131882514156562,-0.13138650309868757,-0.0004960110578744181,-0.014086191113506369,0.14573730687303313,-0.09665466870317777
2007-12-28,0.1755662663793149,0.21431768672973053,0.22381850796207578,0.17743692757896906,0.04638158038310672,0.02278519268356203,0.14199544231917482,0.16046425372122775
2008-01-31,0.012747868078813604,0.05180388529139685,-0.07390642631924882,-0.08734009944759945,0.013433673128350629,0.04415208741314551,0.11876922564764705,0.37174686601166884
2008-02-29,-0.029798172504474623,0.016169289202387412,0.01065912287951224,0.01312779750919279,-0.0024686746296805496,0.05544137361740167,0.10340802114628542,0.5361419066222332
2008-03-31,-0.18288293361913743,-0.24981009224091155,-0.24545773506625698,-0.19073852842348996,-0.054719206642767027,0.038807960259236975,0.12696813049562852,0.30565119063931656
