,MA12
IC_mean,-0.019846119608139694
IC_std,0.13418458323773222
IR_mean,-0.2467224659122049
IR_std,0.6497011058153702
Rank_IC_mean,-0.042144914635372115
Rank_IC_std,0.18165986438925535
IC_isPositive,0.4409937888198758
IC_bigger005,0.7701863354037267
IC_Posbigger005,0.7746478873239436
IC_Negbigger005,0.7666666666666667
Long_mean,0.009801443245342607
Long_std,0.09666089125260603
Short_mean,0.02145902612942306
Short_std,0.09577456247399192
LS_mean,-0.01165758288408046
LS_std,0.051258453399790335
