,IC,Rank_IC,Long,Short,LS,LongP,ShortP,LSP,RollingIC-mean,RollingIC-std,IR
2005-12-30,0.08828911868004295,0.050288216631663614,0.0629206619965776,0.057801029044682865,0.005119632951894736,1.0629206619965776,1.0578010290446829,1.0051196329518948,,,
2006-01-25,-0.05211383591922904,-0.10085149240065922,0.09582904025887447,0.10190247508553911,-0.006073434826664642,1.1647793289070372,1.1655935720523662,0.9990151043681603,,,
2006-02-28,0.014288677800926396,-0.0970745396532503,0.03736259606710093,0.04308271738562143,-0.005720121318520503,1.2082985084802997,1.2158105105035952,0.99330061677214,,,
2006-03-31,0.049007495428656254,0.04208090015667284,0.021935455501826476,-0.00011811955072520604,0.02205357505255168,1.2348030866459927,1.2156668995123276,1.0152064464738701,,,
2006-04-28,0.2083698598410654,0.15952496701159802,0.12402171710137472,0.0710225448278529,0.052999172273521813,1.3879454857339062,1.302006656378679,1.0690115478237288,0.061568263166292395,0.09692969699300048,0.6351847274498174
2006-05-31,-0.19137929554300492,-0.3455296648965391,0.1530157692551711,0.34147505134006634,-0.18845928208489524,1.6003230319177217,1.7466094462106965,0.8675463989804062,0.005634580321682817,0.1459512278052324,0.038605912443586965
2006-06-30,-0.14205408669005357,-0.20712286116156167,0.006687163342849455,0.035459328431354825,-0.028772165088505372,1.6110246534334796,1.8085430442051884,0.8425852107670037,-0.012353469832482089,0.15973905019988502,-0.0773353154223962
2006-07-31,0.07991676004516647,0.03135303872792898,-0.06940285914176696,-0.06598956054066858,-0.0034132986010983746,1.499214936337322,1.689198083499205,0.8397092158457864,0.000772146616365926,0.1650824331132692,0.004677339689051757
2006-08-31,0.002383240840898913,0.124185515059182,0.03177643544851427,0.013623611929914155,0.01815282351860012,1.5468546429852934,1.7122110626615532,0.854952309047977,-0.008552704301185543,0.16298007655597982,-0.052476992782905525
2006-09-29,0.05001643122341112,-0.04471188523495312,0.043151815311136404,0.06793196511361822,-0.02478014980248182,1.6136042288525685,1.8285249248374291,0.8337664627557905,-0.0402233900247164,0.12001021263607993,-0.33516639243603524
2006-10-31,-0.09831254993141063,-0.1732765106619807,0.02960870998894259,0.08562719309598853,-0.056018483107045935,1.6613809685015957,1.9850963816573115,0.7870601302466838,-0.021610040902397543,0.0953988514680517,-0.2265230720270733
2006-11-30,0.1420695459139767,0.06275639569649238,0.1371919967621472,0.13079453918015183,0.006397457581995364,1.8893091409529594,2.2447361481243666,0.7920953140444167,0.03521468561840851,0.09019805250052738,0.39041514358863355
2006-12-29,-0.023868592455316202,0.02301305595851724,0.10859103524206251,0.1136742723620568,-0.005083237119994283,2.094471176461333,2.49990489640721,0.7880689057414926,0.014457615118311975,0.08927630300183717,0.16194235908284038
2007-01-31,0.12179426608273045,0.025330146845178966,0.2550146121020573,0.25945591521819816,-0.004441303116140882,2.6285919310855594,3.1485200092629975,0.7845688528546891,0.038339820166678286,0.10050447831677531,0.38147374931728734
2007-02-28,-0.03850533098801394,-0.23997242713252467,0.08848170937417134,0.1767770702467885,-0.08829536087261715,2.861174238395164,3.7051061521139017,0.7152950628624691,0.02063546772439327,0.10560091640241895,0.19540993040019283
2007-03-30,-0.18862554535587198,-0.3495632164231023,0.038183510661570975,0.14686150349704907,-0.1086779928354781,2.970423915431538,4.249243612229516,0.6375582311454489,0.0025728686395009998,0.13473721408982417,0.019095456714622035
2007-04-30,-0.17839362853307708,-0.24723276376875808,0.21852864549685802,0.34537744847880364,-0.12684880298194562,3.6195466302222656,5.716836528986201,0.556684732693362,-0.061519766249909756,0.12783454964885801,-0.48124522219458793
2007-05-31,-0.0712858392921758,-0.008345052108416328,0.1041412289216281,0.11539879481701058,-0.011257565895382488,3.9964906644327503,6.376552574597071,0.5504178176321132,-0.07100321561728168,0.1260900219790845,-0.5631152608495819
2007-06-29,0.034448655349797526,0.03225042324761553,-0.060132275520138195,-0.06623052526605448,0.006098249745916287,3.7561725866854196,5.9542301481948945,0.553774402948636,-0.08847233776386827,0.0948922435824884,-0.9323453047767871
2007-07-31,-0.11680088572841481,-0.1324967483100372,0.14831593976730506,0.17966146188586413,-0.031345522118559066,4.313272853807857,7.023975841024474,0.5364160551523177,-0.10413144871194846,0.09096416554568779,-1.1447524207721913
2007-08-31,0.1063200226430497,0.08979297715217616,0.20655152603790045,0.1431137462911792,0.06343777974672124,5.20418594397972,8.029203337492222,0.5704450987116755,-0.04514233511216413,0.11494554087160445,-0.3927280238090198
2007-09-28,0.11969635077936522,0.06311092876557772,0.1153001825078256,0.024674283417152748,0.09062589909067285,5.804229533125243,8.227318176255453,0.6221421986642887,0.014475660750324332,0.10546832164193226,0.1372512667781856
2007-10-31,0.05857543791133813,0.01797794633588493,-0.042076506696247816,-0.06038399233170726,0.018307485635459447,5.560007830308139,7.730519858589928,0.6335320580295483,0.04044791619102712,0.09448707937145433,0.4280788067542589
2007-11-30,-0.09656226271901447,-0.31052759395300833,-0.16109816540156757,-0.07957576777064176,-0.08152239763092581,4.6643007692271485,7.1153578055764415,0.5818850056829247,0.01424573257726472,0.11293168126821626,0.12614469577788948
2007-12-28,0.0051882545302850275,-0.011795759479294761,0.16639735301400105,0.1713158040982935,-0.004918451084292452,5.440428070887715,8.33433104948584,0.5790230327457899,0.03864356062900469,0.08795852745366654,0.4393384217279076
2008-01-31,-0.07388499067019341,-0.13824523892397195,-0.13428660640541387,-0.08710588911915447,-0.0471807172862594,4.709851447855451,7.6083617332069995,0.5517043107355784,0.0026025579663560643,0.09018676758452736,0.028857425940194855
