,IC,Rank_IC,Long,Short,LS,LongP,ShortP,LSP,RollingIC-mean,RollingIC-std,IR
2005-12-30,0.3089161530529919,0.379671771384953,0.09073556587078765,0.02574508241970769,0.06499048345107997,1.0907355658707876,1.0257450824197076,1.06499048345108,,,
2006-01-25,0.22858785228227638,0.15074015748031497,0.11517692597385425,0.06118594966878444,0.053990976305069806,1.2163631353981372,1.088506269405643,1.122490359408212,,,
2006-02-28,-0.09071052821712339,-0.015232690207764984,0.03745784952915145,0.04720138695114466,-0.009743537421993208,1.2619254826966877,1.1398852750266057,1.1115533325854916,,,
2006-03-31,0.1137422434633445,0.23100511861371154,0.05574392860432795,-0.023391611211199603,0.07913553981552755,1.332270166708114,1.113221521847812,1.199516705593393,,,
2006-04-28,0.19472868613013725,0.393353705118411,0.11692713425473646,-0.029527705887986592,0.14645484014272306,1.4880486993543738,1.080350644162513,1.3751917329595993,0.15105288134232533,0.1522183383321997,0.9923435178530797
2006-05-31,0.1276959716408663,-0.294843324614317,0.21626601775620496,0.218556423945961,-0.002290406189756039,1.8098630657910446,1.3164682175583873,1.3720419853023273,0.11480884505990022,0.12423593677340473,0.9241194459643453
2006-06-30,-0.057218938459835895,-0.03144659958556574,0.034058226632142266,0.03282368747908741,0.0012345391530548533,1.8715037922589,1.3596795589076751,1.3737358248528182,0.05764748691147774,0.12454824711251884,0.4628526554805552
2006-07-31,-0.014729003470982804,-0.017886492776006638,-0.07214556576097572,-0.06397699254360663,-0.008168573217369093,1.73648309234257,1.2726913499057444,1.3625143631861851,0.07284379186070586,0.10502699738857471,0.6935720688196131
2006-08-31,0.21280949303502536,0.2370795821868405,0.0536176949565552,0.01721853424282396,0.03639916071373124,1.8295893130850096,1.2946052294946422,1.4121087424665664,0.09265724177504202,0.12255359123259578,0.7560548886665168
2006-09-29,-0.026856442801260465,0.1456562783140397,0.06308984655831983,0.025032806778180147,0.038057039780139676,1.9450178221122847,1.3270128320586032,1.4658494210524995,0.048340215988762474,0.11632119118155611,0.4155753177708801
2006-10-31,-0.1571067264157054,-0.046342770569016874,0.005319194161854224,0.046915559569841406,-0.04159636540798718,1.9553637495563667,1.3892703816309926,1.4048754129013132,-0.008620323622551862,0.13584096666299927,-0.06345893903963132
2006-11-30,0.22100979187850034,0.2614703940127669,0.14688361430963276,0.09925872717438627,0.047624887135246485,2.2425746443812415,1.527167591412759,1.471782445879821,0.047025422445115386,0.16484613447055685,0.2852685784604467
2006-12-29,0.05657217013579487,0.03301319229237721,0.08130277668348457,0.07996469745831385,0.0013380792251707213,2.4249021898894147,1.6492870858282223,1.4737518073946236,0.06128565716647092,0.1612124002668851,0.3801547341582489
2007-01-31,0.02077762757718989,-0.012965518080683462,0.2325793357153988,0.22893760283540182,0.003641732879996973,2.9888843303887107,2.026870917645121,1.4791188178085675,0.022879284074903822,0.13717136376981506,0.16679344322403297
2007-02-28,-0.007374136426794045,-0.1063798265378561,0.14648723644478362,0.17159307220209627,-0.02510583575731265,3.4267177360004704,2.3746679253609293,1.4419843037031153,0.026775745349797105,0.13567391700848597,0.1973536692990324
2007-03-30,0.08914586476040157,0.12069315873858558,0.12020995821919128,0.10277584754815151,0.017434110671039768,3.838643331874049,2.6187264340353096,1.4671240176397777,0.07602626358501849,0.08885219139983971,0.8556487171250077
2007-04-30,0.11400767508889544,-0.06791895983632806,0.3796473385175142,0.3572377287247077,0.022409609792806484,5.295974056338035,3.554234317481437,1.50000169439274,0.05462584022709751,0.04927301799698225,1.108635972540653
2007-05-31,-0.046907903867090005,-0.010408232962276939,0.10055949017608606,0.1276068551158677,-0.027047364939781632,5.828534507429166,4.007778981080135,1.4594306011542086,0.03392982542652053,0.06684872672060725,0.5075612818824429
2007-06-29,0.07384350512297377,0.12833736723710812,-0.0953167787338048,-0.11684836543230076,0.02153158669849596,5.272977373442194,3.53947655812699,1.4908544576733986,0.044543000935677306,0.06843232624894469,0.650905841979385
2007-07-31,0.05259957518188501,0.055492225864813026,0.22257454269684468,0.2145482632833387,0.008026279413505977,6.446607900986899,4.298865106605224,1.5028204721155562,0.056537743257413106,0.06201226314853931,0.9117187534663431
2007-08-31,0.03378288482909839,0.057837079716462604,0.17728630510613783,0.16840016672406866,0.00888613838206917,7.5895031962209005,5.022794707281825,1.5161747427941814,0.04546514727115248,0.059631294653015386,0.7624377021445976
2007-09-28,0.05999698894272579,-0.0002736709980760723,0.09329501118109425,0.07908663217167036,0.014208379009423885,8.29756598177128,5.420030624770436,1.537717128184317,0.03466301004191855,0.04783625891283873,0.724617911803621
2007-10-31,0.2696116837989705,0.3283508768892505,-0.010434597628439544,-0.08464895224053683,0.07421435461209729,8.21098421945607,4.961230711271996,1.6518378124284836,0.09796692757513065,0.09703525917945069,1.0096013387665301
2007-11-30,-0.08077067760560001,-0.11859212963764477,-0.1365378313464791,-0.13285119622307912,-0.0036866351233999783,7.089874240911375,4.302125276540834,1.6457480891310245,0.06704409102941589,0.12673540250346907,0.5290083883828808
2007-12-28,0.04565409129931194,0.171236083031977,0.20735665298233608,0.14155224084297088,0.06580441213936519,8.560006833572439,4.911100749822374,1.7540455746657753,0.06565499425290126,0.12697114740362958,0.5170859332647447
2008-01-31,-0.11861325677769433,0.05305095468138946,-0.11208663396668943,-0.09797134286390861,-0.014115291102780814,7.600544480865445,4.4299536144223275,1.7292867107718233,0.03517576593154272,0.15229964648301153,0.23096419948332875
