,IC,Rank_IC,Long,Short,LS,RollingIC-mean,RollingIC-std,IR
2005-12-30,0.13832092558794937,0.1321811100292113,0.06611899480002215,0.03649182007255892,0.029627174727463228,,,
2006-01-25,0.06392667748004692,-0.06678131994587691,0.09786595556233377,0.11395505868911462,-0.016089103126780857,,,
2006-02-28,-0.07385452606677982,-0.14512091038406827,0.032296004185347595,0.048553613621157496,-0.0162576094358099,,,
2006-03-31,0.09644238800537527,0.031384727804165145,0.013524879007816435,-0.012174402951662031,0.025699281959478466,,,
2006-04-28,0.20399207860451202,0.19541449610907455,0.10721153906854518,0.023539407121364746,0.08367213194718043,,,
2006-05-31,0.005488849262384638,-0.05911809709278064,0.2388017303567764,0.2549323136677523,-0.016130583310975916,,,
2006-06-30,0.004980222065432985,-0.0715672990063234,0.01673660395316129,0.016633214740328396,0.00010338921283289254,,,
2006-07-31,0.2245895115182005,0.18403115871470302,-0.026966952008818698,-0.07787622322657073,0.05090927121775203,,,
2006-08-31,0.15853107798526286,0.2246664722606984,0.03563151885642504,0.002703979940329689,0.03292753891609535,,,
2006-09-29,0.0033346376543385717,0.008971739870616275,0.03149594924816561,0.0279796373637008,0.003516311884464808,0.08257518420967233,0.09834162828976148,0.8396768046830213
2006-10-31,-0.06515932453978052,-0.12290406222990492,0.018532541801454076,0.034780355731852626,-0.01624781393039855,0.06222715919689934,0.10625815464997321,0.5856224343617004
2006-11-30,0.05314693908323497,0.13354037267080746,0.11812158897932884,0.08332715501865649,0.03479443396067235,0.06114918535721815,0.10629367109072345,0.5752852896107642
2006-12-29,0.19363315836855632,0.24424815732147653,0.13703270856463864,0.06908161631150292,0.06795109225313573,0.08789795380075176,0.10211982912226376,0.8607334594686331
2007-01-31,0.016979609823144802,-0.006027871445197099,0.22527772206808924,0.24103627594532379,-0.015758553877234543,0.07995167598252871,0.10444621494373092,0.7654817939127968
2007-02-28,-0.17270230156524685,-0.23514666825818387,0.07828470627479683,0.12755461536647664,-0.0492699090916798,0.04228223796555283,0.12130734686351607,0.34855463464323344
2007-03-30,-0.23956836672102613,-0.1407895914774253,0.06919248780902817,0.1216430623226274,-0.05245057451359922,0.017776516367211757,0.15074627602806365,0.11792341963991465
2007-04-30,-0.16229202283980826,-0.23190892542747157,0.2802368959907557,0.3731594361353802,-0.09292254014462453,0.0010492918766876317,0.1612392600728946,0.006507669882715027
2007-05-31,0.03650351459260003,0.07154367222702993,0.1675693461245012,0.14483047823871237,0.022738867885788827,-0.017759307815872417,0.14210013245234068,-0.12497741915778125
2007-06-29,0.249039419318427,0.3303392915759005,-0.07046678660565849,-0.1544990782905625,0.08403229168490402,-0.008708473682556003,0.15670783624887433,-0.055571398923061566
2007-07-31,-0.1643491472864196,-0.2089612366088747,0.1584949682389237,0.22681071534386626,-0.06831574710494256,-0.02547685217663182,0.16407427554218032,-0.1552763350162239
2007-08-31,0.1667305614173414,0.19792833146696528,0.14753210006578357,0.10168852477017899,0.04584357529560458,-0.0022878635809196273,0.17393325998431242,-0.013153686541182387
2007-09-28,0.19355664423810676,0.1416013437849944,0.08559847411527108,-0.006455480548242696,0.09205395466351378,0.011753106934567551,0.18426598399693514,0.06378337813431174
2007-10-31,0.09239192067849072,0.1116136256908572,-0.05696216937684201,-0.0932237523232176,0.03626158294637559,0.0016289831655609903,0.17574693361533095,0.009268913727544485
2007-11-30,-0.2387517304736103,-0.27956491898182684,-0.14242132949684583,-0.08223623631101482,-0.06018509318583101,-0.02394415086411452,0.19119224065689114,-0.12523599693088017
2007-12-28,-0.08285738792035392,-0.014845871504878995,0.19202731395803227,0.18662590864710013,0.005401405310932139,-0.014959659499625227,0.18544985163298378,-0.08066687229942507
2008-01-31,-0.10059843143884085,-0.052057533347259106,-0.11296119645400828,-0.0865149803536841,-0.026446216100324174,-0.0010626659714066983,0.17142490770811308,-0.006199017316760703
2008-02-29,0.04506670443542375,-0.04220021703743896,0.0602752035173484,0.05720973554411631,0.0030654679732320875,0.0196732067561165,0.162039686484799,0.12140980510945418
2008-03-31,-0.029965317926669975,-0.04692078133478025,-0.22805201208375,-0.2044306137835261,-0.023621398300223917,0.013026323504189499,0.16263478282676902,0.08009555691456563
