,IC,Rank_IC,Long,Short,LS,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.043508118335908785,-0.038851022395326194,0.0576937851790629,0.07148527192740317,-0.01379148674834027,,,
2006-01-25,0.05692997133580374,-0.07682191226495023,0.10910458084569566,0.11798944603608504,-0.008884865190389377,,,
2006-02-28,0.025526836712951837,0.03411095305832148,0.036489184731682486,0.027092628852634037,0.00939655587904845,,,
2006-03-31,0.12145753628566923,0.027548410668615273,0.00891901613527025,-0.014419843396147,0.02333885953141725,,,
2006-04-28,0.1254597221702813,0.06267284069715094,0.12183854400222391,0.05568460100850938,0.06615394299371452,,,
2006-05-31,0.1541123283184828,0.11255832774820117,0.24873718580133042,0.18997322269555142,0.058763963105779,,,
2006-06-30,0.03796226204062034,0.09157633242999097,0.02385104916532052,-0.0252497850331792,0.04910083419849972,,,
2006-07-31,0.2940751617896621,0.31543330087633886,-0.030346723367113027,-0.08613801498146162,0.05579129161434859,,,
2006-08-31,0.14546921384572126,0.19011081140191005,0.041585114975729746,0.021105990369694096,0.02047912460603565,,,
2006-09-29,-0.01924789428664193,0.0034729315628192034,0.03246553462751123,0.014859232088467265,0.017606302539043963,0.08982370198766418,0.09933020995195814,0.9042938903593191
2006-10-31,-0.003560070775889539,-0.05265670658929086,0.023806507015569498,0.026067049667069058,-0.00226054265149956,0.0938185067436661,0.09403426416665156,0.9977055446235737
2006-11-30,-0.012626801810791902,0.018665392578436055,0.11680905669331147,0.10623670888542973,0.010572347807881743,0.08686282942900654,0.09948088076271655,0.873161041227542
2006-12-29,0.18139011466209212,0.2668228342932171,0.13258910747709374,0.06472494785100227,0.06786415962609146,0.10244915722392059,0.1010016381856698,1.0143316392115327
2007-01-31,0.07927353431956413,0.07131986511891618,0.23348526152996207,0.19582679133457542,0.03765847019538665,0.09823075702731007,0.10100045119039086,0.9725774080171209
2007-02-28,-0.06633582884189446,-0.13112112440691118,0.07828470627479683,0.1334503620177338,-0.05516565574293697,0.07905120192609248,0.11277904236408733,0.7009387583810968
2007-03-30,-0.20744487827492802,-0.09665482975739309,0.05991568539083917,0.0913395254272615,-0.031423840036422325,0.04289548126675141,0.14057243347602275,0.3051485999498475
2007-04-30,-0.08391250063166682,-0.0752737906955925,0.299975189253405,0.3638920069877466,-0.0639168177343416,0.030708004999522698,0.14621751807340225,0.21001590920252838
2007-05-31,-0.021752680362103698,-0.01213034525976545,0.13067345879537087,0.1386018255796569,-0.007928366784286017,-0.0008747792156538814,0.11344661248993683,-0.007710932891288207
2007-06-29,0.193414881521869,0.2793858732953359,-0.05828281526842982,-0.1635409037046747,0.10525808843624487,0.003919787551960893,0.12107538250034325,0.032374769098497624
2007-07-31,-0.04160771822436762,-0.061546954731282265,0.17527386925513078,0.21563309847567064,-0.04035922922053986,0.0016838051581883247,0.1217553331509211,0.013829416047847152
2007-08-31,0.2522861561846142,0.2733762597984323,0.16536437611450858,0.0949822255839469,0.07038215053056168,0.0272684278542387,0.14516181058712588,0.18784849640513565
2007-09-28,0.2686515004909467,0.2066629339305711,0.14450181514115956,0.0133363101961021,0.13116550494505747,0.055396258084412564,0.16275747852670291,0.34036075383979325
2007-10-31,0.05088742000815675,0.08517140483329119,-0.062064409475727646,-0.10119310970534019,0.03912870022961255,0.042345988619019025,0.1566499117783979,0.2703224543076861
2007-11-30,-0.06056922810907158,0.03901703918116439,-0.10756672751629695,-0.1539158160536215,0.046349088537324556,0.028361712376155458,0.15920812797647943,0.17814236456787852
2007-12-28,-0.07282909962300062,-0.0391960848676554,0.189834106269043,0.1985670643726818,-0.008732958103638777,0.027712385298044838,0.1596498919468389,0.17358223648076543
2008-01-31,-0.115620893935576,-0.10245889409447644,-0.10648772593480053,-0.08976036278750714,-0.016727363147293395,0.03689478373198004,0.146740556350495,0.2514286755452634
2008-02-29,0.06515714214229015,0.0007731958762886598,0.062219990158896364,0.05084942953978649,0.011370560619109876,0.05180174800937574,0.14054548611684936,0.3685763907515879
2008-03-31,-0.012024422418988963,0.02951709169831796,-0.23185183315900834,-0.2182403743409035,-0.013611458818104855,0.052774573803687205,0.14001244595813944,0.37692773269217517
