,IC,Rank_IC,Long,Short,LS,LongP,ShortP,LSP,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.18746571627793746,-0.21062449310624493,0.023450729993799692,0.05935207862217015,-0.03590134862837046,1.0234507299937996,1.0593520786221702,0.9640986513716295,,,
2006-01-25,0.08021156530231975,0.06592730596175478,0.086834780341854,0.09258493226910756,-0.005750151927253561,1.1123218493235214,1.157432119070542,0.9585549376533824,,,
2006-02-28,-0.02085523506221854,0.07480313659660102,0.03990652234589632,0.04626611856748021,-0.006359596221583892,1.1567107460593793,1.2109820107252696,0.9524589152937014,,,
2006-03-31,0.008834018187672462,-0.0021904012588512983,0.022826554849721372,0.02155082976646126,0.0012757250832601125,1.1831144673495657,1.2370796778886568,0.9536739910227162,,,
2006-04-28,-0.15046072944142652,-0.21860545871241058,0.034817557596344806,0.1413730193265867,-0.10655546173024188,1.224307623459578,1.4119693670993376,0.8520548185691681,-0.05394721945831806,0.11200132740543242,-0.48166589368209084
2006-05-31,0.07504851418616822,0.18672809713388258,0.19961714761421032,0.13594029593025073,0.06367685168395959,1.4687004190569117,1.6039129007072703,0.9063109868778002,-0.0014443733654969314,0.09381784935260411,-0.01539550709661242
2006-06-30,0.031463178192134275,0.03340209457315138,0.02365913780861723,0.0221903404502257,0.0014687973583915291,1.5034486046709532,1.6395042740264738,0.9076421740612076,-0.011194050787534026,0.08536259281620183,-0.1311353183898298
2006-07-31,-0.007019989124510759,0.030566380184700797,-0.06883354604019,-0.0760627998463108,0.0072292538061208,1.3999609059222757,1.514798988584027,0.9142037497026353,-0.00842700159999247,0.08519520308145967,-0.09891403852790827
2006-08-31,0.09542965571287884,0.037747442096545826,0.04276064096738979,0.01917911250923071,0.023581528458159078,1.4598241315887999,1.5438514888149488,0.9357620714428038,0.008892125905048806,0.09749537436306692,0.09120561835000564
2006-09-29,0.12352646435079052,0.0914502356234277,0.06781711253988572,0.04078031933214114,0.027036793207744575,1.5588251890091984,1.606810245530224,0.9610620770600536,0.06368956466349221,0.051853868371052235,1.2282509803848565
2006-10-31,-0.05416439604661189,-0.08569104944546832,0.02020501513345783,0.03501005255051623,-0.014805037417058398,1.5903212755435445,1.6630647566649448,0.9468335170490637,0.0378469826169362,0.07276096093855003,0.5201550684425362
2006-11-30,0.02881510178698616,0.03529556650246305,0.12543001554465433,0.11461008323343091,0.010819932311223412,1.789795297855966,1.8536687468488997,0.9570781916135322,0.03731736733590657,0.0728286502646239,0.5123995460620704
2006-12-29,0.023171768677175887,0.03394453004622496,0.09358169085989387,0.0891580631181639,0.0044236277417299685,1.9572873681224146,2.0189382619806215,0.9613119492529586,0.0433557188962439,0.06940467839625841,0.6246800633339034
2007-01-31,-0.06145756927212255,-0.012593447234910148,0.2381886876427288,0.23033595038809204,0.007852737254636755,2.423491077675183,2.4839723253288106,0.9688608794101847,0.011978273899243625,0.07519881605041315,0.159288065003755
2007-02-28,0.17953978122077388,0.17969157913909295,0.16520676252134991,0.08843788941714376,0.07676887310420616,2.8238681926172777,2.7036495951514854,1.0432392373172548,0.023180937273240297,0.09698686683132506,0.23901109532237474
2007-03-30,0.11802598912885585,0.15860027725498416,0.13740041601315883,0.09507075026389591,0.04232966574926292,3.2118688570492187,2.9606875906132153,1.0873992055294102,0.05761901430833385,0.09315200866968583,0.6185482753533432
2007-04-30,0.034611649182376754,0.05101768325054339,0.3279146379540069,0.2590016156747575,0.06891302227924939,4.265087670464263,3.727510460090243,1.1623351712064964,0.05877832378741197,0.09273906991924863,0.6338032486048485
2007-05-31,-0.07399581495894395,-0.07952210574770364,0.06583236537738897,0.11628334563695317,-0.050450980259564196,4.545868480352863,4.160957847286275,1.1036942224289603,0.039344807060188,0.11053842957206214,0.355937814681349
2007-06-29,0.06715547762335383,0.05787066829921125,-0.053999407101096075,-0.07007016780607749,0.01607076070498141,4.300394277654248,3.8693988326929105,1.1214314281690867,0.06506741643928328,0.09510392842256248,0.6841717005650702
2007-07-31,0.06367451624356689,0.05956225429515868,0.19168213441936807,0.15800311280438886,0.03367902161497921,5.12470303163985,4.480775892940059,1.1592001414781103,0.041894363443841884,0.07140044599345377,0.5867521254374644
2007-08-31,0.07414149972411416,0.10754141238012206,0.1779618356296243,0.1711912233928155,0.006770612236808804,6.036704590207179,5.247845399801503,1.1670486361409125,0.03311746556289354,0.06174702105978238,0.5363411059268721
2007-09-28,0.09148704624690374,0.1118738232661502,0.0785405368414222,0.026547719658599565,0.05199281718282264,6.510830609475129,5.387163728287104,1.2277267825232494,0.044492544975798944,0.06709804700085867,0.66309746653624
2007-10-31,0.11786022002558591,0.0368587801457731,-0.018057005470528065,-0.04998870742183159,0.03193170195130353,6.393264505542156,5.117866376840256,1.2669301882204145,0.0828637519727049,0.02230565127667583,3.714921879880386
2007-11-30,-0.06524219798916532,-0.07885078166929244,-0.13081007057621455,-0.11347333159158933,-0.01733673898462522,5.55696112435978,4.537125028419616,1.2449657502354952,0.05638421685020108,0.07101577631952746,0.7939674783882762
2007-12-28,-0.15333828471852534,-0.0847780403770039,0.15123305416719776,0.17905191109173652,-0.027818856924538754,6.3973573270850945,5.349505935620297,1.2103322261537428,0.012981656657782628,0.116923511309507,0.11102691419708582
2008-01-31,-0.06789675974695424,-0.034288014722797334,-0.14311286650310803,-0.12967404725623682,-0.013438819246871209,5.481813181961285,4.655813850127152,1.1940667901377995,-0.01542599523643105,0.1155965488166745,-0.13344684935962284
