,IC,Rank_IC,Long,Short,LS,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.14280816680144898,-0.1291139240506329,0.03448496455535962,0.06294816007936785,-0.02846319552400823,,,
2006-01-25,0.05110695536069917,0.14912935166099722,0.0849618047151806,0.09285213711560153,-0.007890332400420932,,,
2006-02-28,-0.20499452872237547,-0.24469416785206258,0.018403058110248397,0.048411026829894906,-0.03000796871964651,,,
2006-03-31,-0.024724587094805,-0.07150164413591524,-0.012643067190534516,-0.02374420973386562,0.011101142543331104,,,
2006-04-28,0.046409259970996396,0.01315197118785774,0.06317134421887852,0.06554299893716205,-0.0023716547182835307,,,
2006-05-31,0.1233652168662153,0.09892639006563057,0.24046233473783052,0.18602083343213852,0.054441501305692,,,
2006-06-30,0.0074131069122106265,-0.034033423667570006,0.00089843375197831,0.00022759685651201067,0.0006708368954662994,,,
2006-07-31,-0.022600183450468627,-0.027361246348588122,-0.05261882665159622,-0.07166989284049882,0.0190510661889026,,,
2006-08-31,-0.007838721072670356,0.010224538893344026,0.024972482521605405,0.018051255830377637,0.0069212266912277685,,,
2006-09-29,0.028697392514788075,-0.04143684031324481,0.029095873018573963,0.026131287025623548,0.002964585992950415,-0.014597425551685894,0.09564564899900732,-0.15261985991477142
2006-10-31,0.07548528529769169,0.06915257027616578,0.04129823859813852,0.0392661758061185,0.00203206279202002,0.007231919658228172,0.08771450472425658,0.08244838959032799
2006-11-30,-0.14551055840203045,-0.11984392419175027,0.0919174185104049,0.16245407071855078,-0.07053665220814588,-0.012429831718044789,0.09819702995365234,-0.12658052615146811
2006-12-29,-0.09131385220773995,-0.15688878278774135,0.0748220988956338,0.13514846483132623,-0.06032636593569242,-0.0010617640665812362,0.0779124200343158,-0.013627661239550667
2007-01-31,0.19899984602341989,0.2329831995464176,0.25233395495542293,0.16207951815409832,0.09025443680132461,0.02131067924524125,0.09949459125509418,0.2141893240266981
2007-02-28,-0.2069334568013984,-0.20503715197994687,0.08225969726952027,0.1453193151713857,-0.06305961790186541,-0.004023592431998229,0.12208364931573774,-0.032957668406456704
2007-03-30,-0.022922320899014016,-0.026289874966428935,0.12678352362642756,0.12965462400880862,-0.002871100382381059,-0.01865234620852116,0.11359235386285876,-0.1642042406396502
2007-04-30,-0.2731250690567979,-0.29764853331741814,0.260867460224251,0.3996564058393406,-0.1387889456150896,-0.046706163805422016,0.13837782325325,-0.33752636591156276
2007-05-31,0.02778970039860229,-0.011339560144430187,0.11867218905651615,0.12780937351231975,-0.009137184455803596,-0.04166717542051492,0.14025786536470286,-0.29707549956054613
2007-06-29,0.1743569300615464,0.17840410611441018,-0.08966686899287934,-0.13444245840694768,0.04477558941406834,-0.023447610307093247,0.15608151127838674,-0.1502266995946248
2007-07-31,-0.08656137078755463,-0.08342036943093313,0.19228095201250675,0.212468309581129,-0.02018735756862225,-0.03497348663732752,0.15605865373755362,-0.22410475676756128
2007-08-31,-0.06361072072014895,-0.019246920492721163,0.11875586189429528,0.14969357766162963,-0.030937715767334353,-0.04888308723911159,0.1512440675225567,-0.32320664234860724
2007-09-28,-0.008407313057057565,-0.07108062709966405,0.041050566143262995,0.0900855091630668,-0.04903494301980381,-0.0351727627046143,0.14768382209255643,-0.23816259767824008
2007-10-31,-0.04181981544234026,-0.04388975183325507,-0.1113936451119889,-0.07858307286301289,-0.03281057224897602,-0.030223359028074333,0.14641721103399444,-0.20641944218605024
2007-11-30,0.12980080811259898,0.21395959535674852,-0.11993484601046661,-0.1540365956309297,0.034101749620463084,-0.03714326281915642,0.13561694536572397,-0.27388364130301424
2007-12-28,-0.076131097025694,-0.028677150786308975,0.18533072116099947,0.1854516968016738,-0.0001209756406743423,-0.024063026841585976,0.12315663844798427,-0.19538554433465719
2008-01-31,-0.06845516819455395,-0.09041807167795649,-0.08680634800221576,-0.06598631555102222,-0.020820032451193543,-0.028616311571139967,0.123948939007533,-0.23087177510572165
2008-02-29,-0.06219202901528205,-0.07806565382528487,0.04646763116471632,0.07477044184789876,-0.02830281068318244,-0.007523007566988382,0.09138658843155831,-0.08232069602447793
2008-03-31,-0.13498454939900606,-0.06531470428648942,-0.24406140450471986,-0.21455110922480947,-0.029510295279910392,-0.02380043254674922,0.09860892937313645,-0.241361839115891
