,IC,Rank_IC,Long,Short,LS,RollingIC-mean,RollingIC-std,IR
2005-12-30,-0.2912641730371347,-0.2955696202531646,0.0363060118392238,0.080902963266867,-0.044596951427643194,,,
2006-01-25,0.009384784607580427,0.057575336056348715,0.08370264577985365,0.07938454591227166,0.004318099867581984,,,
2006-02-28,-0.2054825962742504,-0.19712660028449502,0.025971935751201145,0.05416591330696545,-0.028193977555764305,,,
2006-03-31,0.035439328653327315,-0.03332115454877603,-0.011597336165315355,-0.020164702902296296,0.008567366736980941,,,
2006-04-28,0.09550321685916824,0.0559199948549746,0.09086438817123176,0.05861995168662099,0.03224443648461076,,,
2006-05-31,0.1732474461996804,0.1568937391722202,0.24476279957754765,0.14937276891475834,0.09539003066278931,,,
2006-06-30,-0.03287765761104509,-0.07429990966576333,-0.010675483771256246,0.00856762954254741,-0.019243113313803656,,,
2006-07-31,-0.004100502921255805,0.0021908471275559884,-0.05741424540937066,-0.07657830770211993,0.019164062292749272,,,
2006-08-31,0.0182977631872247,0.021961799227236276,0.021066773171542978,0.020559646122242314,0.0005071270493006638,,,
2006-09-29,0.006431917280720155,-0.08163091590057882,0.04227494250540473,0.04866914878451361,-0.006394206279108881,-0.01954204730559847,0.13547959837067633,-0.14424346942726263
2006-10-31,0.09382446430744736,0.10109066962999547,0.028375082120370907,0.03135976322119201,-0.002984681100821101,0.018966816428859733,0.0996561982541161,0.19032249635387175
2006-11-30,-0.1817906334382157,-0.1282051282051282,0.10791323391651614,0.15043639828692376,-0.04252316437040762,-0.00015072537571987794,0.11829302362776092,-0.0012741696094790312
2006-12-29,-0.10775968415757758,-0.14827966936229894,0.08784967131626209,0.1116029903791216,-0.023753319062859504,0.009621565835947404,0.10241673528565669,0.09394525034518347
2007-01-31,0.3277260561557635,0.33885888215809734,0.26826384749966053,0.16553064872686654,0.102733198772794,0.03885023858619102,0.14390716366095874,0.26996737061485765
2007-02-28,-0.11613206309497985,-0.14180418370087433,0.11183975305986162,0.13979857712600294,-0.027958824066141322,0.01768671059077621,0.15007940509075174,0.11784901852510148
2007-03-30,-0.014857973337555952,-0.008280863000208886,0.11280693747951602,0.1102212396812646,0.002585697798251421,-0.001123831362947425,0.13985552052601732,-0.008035659648761299
2007-04-30,-0.17931778960824898,-0.18270120259019426,0.2821616348377873,0.37865666216501026,-0.09649502732722298,-0.015767844562667815,0.1507891867778866,-0.10456880164685778
2007-05-31,-0.02981979348463555,-0.04729790218137328,0.08751054453946236,0.11979556594708327,-0.032285021407620906,-0.018339773619005788,0.15078741174214155,-0.12162668890668576
2007-06-29,0.13877536043218833,0.13500044761421623,-0.10951464727570703,-0.15097305153035723,0.041458404254650194,-0.0062920138945094265,0.15864809518762377,-0.0396601918672155
2007-07-31,-0.000554876231335005,0.02790128614484796,0.1995182301604647,0.17059412781661348,0.028924102343851205,-0.006990693245714942,0.15860121120302825,-0.04407717439664462
2007-08-31,-0.010172982677269748,0.057782754759238525,0.1274039056762555,0.11646930609110138,0.010934599585154123,-0.017390437944186654,0.15461564597817373,-0.1124752791618616
2007-09-28,0.021242639075162842,0.009784434490481523,0.05456036550364505,0.049402073327822434,0.005158292175822615,0.002912889307151198,0.14356447301860598,0.020289764214672296
2007-10-31,-0.04799977860497419,-0.02302496116750352,-0.10874471045486338,-0.0920396501222965,-0.01670506033256687,0.008888879862411537,0.13963578728783813,0.06365760551117494
2007-11-30,0.11955354082189108,0.16930261705111754,-0.10947275834065259,-0.13680144239307399,0.027328684052421393,-0.011928371670975704,0.09530029754411098,-0.12516615349972546
2007-12-28,-0.04217650026213523,0.045596968159708755,0.1973651466737957,0.1750675616943587,0.022297584979437013,-0.004532815387691243,0.08897497641812353,-0.05094483381923035
2008-01-31,-0.07997278044179314,-0.08007818328310107,-0.10275666085040189,-0.07459353368827235,-0.028163127162129542,-0.011044296098114961,0.09214089663101288,-0.11986312812152145
2008-02-29,-0.04910383853270299,-0.03509224091155724,0.032334573360432745,0.04787795273149134,-0.015543379371058597,0.0019770990094396396,0.07291280662884465,0.02711593615513752
2008-03-31,-0.08962886927158911,-0.04772110689093869,-0.24196708641636627,-0.22691021463029792,-0.015056871786068349,-0.0040038085692557165,0.07808072377868784,-0.05127781064893967
