,lnR,lnR_2
2010-06-02,0.024250687227454826,0.0005880958310038407
2010-06-03,0.0012728577370868521,1.620166818861862e-06
2010-06-04,0.02891513197012152,0.0008360848568495438
2010-06-07,0.03985936412867197,0.0015887689087420618
2010-06-08,-0.0021716551485777558,4.716086084344274e-06
2010-06-09,0.00994893915607964,9.898139033137464e-05
2010-06-10,0.036135667590190046,0.0013057864721887113
2010-06-11,0.004214894081025378,1.7765332114262764e-05
2010-06-17,-0.05246649120149982,0.002752732698997058
2010-06-18,-0.06254459232591891,0.003911826029215395
2010-06-21,0.039709687408842065,0.00157685927410795
2010-06-22,-0.005597883381250668,3.133629835008241e-05
2010-06-23,0.011861851682527735,0.00014070352533828605
2010-06-24,0.003107813020288397,9.658501769074088e-06
2010-06-25,-0.033212527798352376,0.0011030720027563293
2010-06-28,-0.02839356255581027,0.0008061943946107111
2010-06-29,-0.07843525522328854,0.006152089261942412
2010-06-30,0.0065480257099723715,4.287664069845918e-05
2010-07-01,-0.041215936343905746,0.0016987534087048906
2010-07-02,-0.010334448870554347,0.00010680083345810202
2010-07-05,-0.012504556760950969,0.0001563639397878446
2010-07-06,0.035824080334315056,0.0012833647317994587
2010-07-07,0.016457395083779858,0.0002708458529436214
2010-07-08,-0.0033516012102694503,1.1233230672679645e-05
2010-07-09,0.028995425056674407,0.000840734674217222
2010-07-12,-0.002126380800341998,4.521495308063077e-06
2010-07-13,0.0009778375527291772,9.561662795273862e-07
2010-07-14,-0.009409599813735348,8.854056865464829e-05
2010-07-15,-0.032841864595198444,0.0010785880700893492
2010-07-16,-0.0002913393788182006,8.4878633650175e-08
2010-07-19,0.017497044258401928,0.00030614655778047587
2010-07-20,0.0314051835633018,0.0009862855546446815
2010-07-21,0.004504152386293647,2.0287388718954758e-05
2010-07-22,0.009474233683529398,8.976110389012304e-05
2010-07-23,0.010864666218588503,0.00011804097204133821
2010-07-26,0.005771422644788693,3.3309319344779715e-05
2010-07-27,-0.008502639420565394,7.229487711615263e-05
2010-07-28,0.015084461105406177,0.00022754096684051174
2010-07-29,0.002905710272321116,8.443152186672454e-06
2010-07-30,-0.00713043009978076,5.084303340785946e-05
2010-08-02,0.02629236470201235,0.0006912884416236249
2010-08-03,-0.01887490230912814,0.00035626193717913076
2010-08-04,0.0024262290201431114,5.886587258184602e-06
2010-08-05,0.009504691571900814,9.033916187696237e-05
2010-08-06,0.024056314808732715,0.000578706282176853
2010-08-09,0.020502447834636506,0.0004203503672119911
2010-08-10,-0.037856202902893266,0.0014330920982250244
2010-08-11,0.010657401122004195,0.00011358019867529629
2010-08-12,-0.012883238870007752,0.0001659778437816786
