,lnR,lnR_2,CYBZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2010-06-02,0.024250687227454826,0.0005880958310038407,0.0006584405376394028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-03,0.0012728577370868521,1.620166818861862e-06,0.000606646272944406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-04,0.02891513197012152,0.0008360848568495438,0.0004806186278630041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-07,0.03985936412867197,0.0015887689087420618,0.0012395636480196292,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2010-06-08,-0.0021716551485777558,4.716086084344274e-06,0.00037499934070384306,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-09,0.00994893915607964,9.898139033137464e-05,0.0006036556976692596,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-10,0.036135667590190046,0.0013057864721887113,0.0003191539261025507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-11,0.004214894081025378,1.7765332114262764e-05,0.000167811849966675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-17,-0.05246649120149982,0.002752732698997058,0.000374372439564094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
2010-06-18,-0.06254459232591891,0.003911826029215395,0.0008933482784509632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-21,0.039709687408842065,0.00157685927410795,0.0006003138752670563,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2010-06-22,-0.005597883381250668,3.133629835008241e-05,0.0002492480078192946,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-23,0.011861851682527735,0.00014070352533828605,0.00042773851115224113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-24,0.003107813020288397,9.658501769074088e-06,0.00026768566065205746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-25,-0.033212527798352376,0.0011030720027563293,0.0005616157385067533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-28,-0.02839356255581027,0.0008061943946107111,0.00039527839787289234,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
