,id,exchange_code,exchange_name,date,total_market_cap,circulating_market_cap,volume,money,deal_number,pe_average,turnover_ratio
0,3627,322004,深圳市场,2008-01-02,58286.5,29130.02,,657.08,,70.96,2.64
1,3632,322004,深圳市场,2008-01-03,59226.58,29573.19,,849.9,,72.08,3.31
2,3637,322004,深圳市场,2008-01-04,59798.89,29861.9,,762.81,,72.76,2.75
3,3642,322004,深圳市场,2008-01-07,60543.95,30317.17,,830.98,,73.66,3.06
4,3647,322004,深圳市场,2008-01-08,59688.17,29858.64,,921.63,,72.6,3.42
5,3652,322004,深圳市场,2008-01-09,61033.81,30563.54,,701.72,,74.26,2.61
6,3657,322004,深圳市场,2008-01-10,61661.06,30909.27,,888.87,,75.05,3.2
7,3662,322004,深圳市场,2008-01-11,61585.78,30936.36,,726.86,,74.97,2.71
8,3667,322004,深圳市场,2008-01-14,62317.09,31291.04,,714.4,,75.85,2.74
9,3672,322004,深圳市场,2008-01-15,62559.35,31413.37,,800.75,,76.13,2.98
10,3677,322004,深圳市场,2008-01-16,61239.04,30717.77,,854.72,,74.28,3.21
11,3682,322004,深圳市场,2008-01-17,59865.87,30035.63,,901.3,,72.52,3.37
12,3687,322004,深圳市场,2008-01-18,60545.83,30365.74,,655.57,,73.38,2.57
13,3692,322004,深圳市场,2008-01-21,57819.26,29030.92,,694.6,,70.2,2.72
14,3697,322004,深圳市场,2008-01-22,53368.25,26833.85,,772.42,,64.75,3.03
15,3702,322004,深圳市场,2008-01-23,55997.23,28177.49,,751.61,,67.95,2.96
16,3707,322004,深圳市场,2008-01-24,57027.57,28759.44,,769.77,,67.8,3.03
17,3712,322004,深圳市场,2008-01-25,57309.38,29007.0,,704.31,,68.23,2.64
18,3717,322004,深圳市场,2008-01-28,53442.25,27151.96,,584.09,,63.59,2.36
19,3722,322004,深圳市场,2008-01-29,53784.71,27351.12,,393.08,,63.48,1.6
20,3727,322004,深圳市场,2008-01-30,53963.42,27412.56,,460.02,,63.7,1.82
21,3732,322004,深圳市场,2008-01-31,52499.84,26675.12,,374.1,,61.73,1.47
22,3737,322004,深圳市场,2008-02-01,51307.01,26059.89,,436.34,,59.97,1.81
23,3742,322004,深圳市场,2008-02-04,55355.79,28096.66,,465.2,,64.36,1.77
24,3747,322004,深圳市场,2008-02-05,55401.85,28064.03,,401.85,,64.13,1.56
25,3752,322004,深圳市场,2008-02-13,54750.61,27729.42,,267.79,,63.34,1.09
26,3757,322004,深圳市场,2008-02-14,55587.02,28140.09,,270.85,,64.44,1.1
27,3762,322004,深圳市场,2008-02-15,55184.75,27935.7,,318.05,,63.98,1.27
28,3767,322004,深圳市场,2008-02-18,56637.41,28672.61,,470.26,,65.5,1.86
29,3772,322004,深圳市场,2008-02-19,57850.58,29258.0,,523.13,,65.47,2.02
30,3777,322004,深圳市场,2008-02-20,57192.92,28899.64,,599.49,,63.85,2.26
31,3782,322004,深圳市场,2008-02-21,57446.51,28959.69,,515.13,,63.64,2.06
32,3787,322004,深圳市场,2008-02-22,55822.73,28144.5,,535.92,,61.77,2.16
33,3792,322004,深圳市场,2008-02-25,53933.26,27116.07,,432.09,,59.6,1.75
34,3797,322004,深圳市场,2008-02-26,53562.46,26995.68,,456.77,,58.61,1.75
35,3802,322004,深圳市场,2008-02-27,54925.54,27654.48,,389.48,,60.06,1.55
36,3807,322004,深圳市场,2008-02-28,55085.64,27661.97,,403.47,,59.61,1.54
37,3812,322004,深圳市场,2008-02-29,55786.66,27990.22,,395.46,,59.12,1.55
38,3817,322004,深圳市场,2008-03-03,57273.37,28745.63,,586.88,,60.43,2.28
39,3822,322004,深圳市场,2008-03-04,56373.79,28323.09,,655.96,,59.1,2.64
40,3827,322004,深圳市场,2008-03-05,56058.85,28362.29,,581.69,,58.56,2.4
41,3832,322004,深圳市场,2008-03-06,56423.38,28548.79,,648.01,,58.75,2.75
42,3837,322004,深圳市场,2008-03-07,55809.53,28248.03,,455.77,,58.11,1.85
43,3842,322004,深圳市场,2008-03-10,53736.01,27214.05,,418.53,,55.1,1.7
44,3847,322004,深圳市场,2008-03-11,54741.36,27336.36,,369.01,,55.56,1.45
45,3852,322004,深圳市场,2008-03-12,53350.96,26618.06,,382.86,,53.35,1.55
46,3857,322004,深圳市场,2008-03-13,51598.23,25738.93,,430.16,,51.4,1.79
47,3862,322004,深圳市场,2008-03-14,51147.55,25547.97,,287.08,,50.81,1.19
48,3867,322004,深圳市场,2008-03-17,47907.23,24024.68,,340.21,,46.87,1.54
49,3872,322004,深圳市场,2008-03-18,44745.6,22495.38,,366.11,,43.12,1.72
50,3877,322004,深圳市场,2008-03-19,46347.54,23394.95,,446.75,,44.5,1.96
51,3882,322004,深圳市场,2008-03-20,47861.25,24234.26,,509.22,,44.79,2.26
52,3887,322004,深圳市场,2008-03-21,48541.48,24530.88,,457.75,,44.08,1.97
53,3892,322004,深圳市场,2008-03-24,46971.79,23781.63,,410.71,,42.36,1.77
54,3897,322004,深圳市场,2008-03-25,47606.18,24151.01,,362.79,,42.59,1.58
55,3902,322004,深圳市场,2008-03-26,47735.79,24232.52,,341.86,,42.48,1.42
56,3907,322004,深圳市场,2008-03-27,45725.74,23283.83,,350.83,,40.65,1.56
57,3912,322004,深圳市场,2008-03-28,47152.27,24104.59,,405.87,,41.07,1.88
58,3917,322004,深圳市场,2008-03-31,45438.99,23337.38,,305.75,,38.35,1.41
59,3922,322004,深圳市场,2008-04-01,42109.94,21678.15,,361.7,,35.42,1.69
60,3927,322004,深圳市场,2008-04-02,40554.03,20955.5,,350.78,,33.94,1.73
61,3932,322004,深圳市场,2008-04-03,41613.21,21442.0,,291.75,,34.67,1.45
62,3937,322004,深圳市场,2008-04-07,44163.72,22739.47,,377.36,,36.82,1.75
63,3942,322004,深圳市场,2008-04-08,44999.92,23151.24,,435.76,,37.45,1.96
64,3947,322004,深圳市场,2008-04-09,43187.0,22181.17,,399.99,,35.11,1.92
