,lnR,lnR_2
2008-01-03,0.008882989304026978,7.89074989754577e-05
2008-01-04,0.007810413497768565,6.100255900612538e-05
2008-01-07,0.005907826606412314,3.490241521143324e-05
2008-01-08,-0.0012638368327344551,1.5972835397762592e-06
2008-01-09,0.009106413147407011,8.292676041126726e-05
2008-01-10,0.0038070809054175925,1.4493865020395235e-05
2008-01-11,0.005143131600272355,2.6451802657720072e-05
2008-01-14,0.002408178915889181,5.79932569093319e-06
2008-01-15,-0.009890689869880731,9.782574610216131e-05
2008-01-16,-0.028542898088424806,0.0008146970312862045
2008-01-17,-0.026620402075453242,0.0007086458066587953
2008-01-18,0.0055918861485277915,3.126919069809698e-05
2008-01-21,-0.05272748637825053,0.0027801878197685954
2008-01-22,-0.07490877599740209,0.0056113247214289634
2008-01-23,0.03094257976185233,0.0009574432423185933
2008-01-24,0.003118003040055939,9.721942957798076e-06
2008-01-25,0.009273627654478034,8.600016987389975e-05
2008-01-28,-0.07462227240373842,0.005568483538697741
2008-01-29,0.008707718373059947,7.582435926452577e-05
2008-01-30,-0.009034747145340916,8.162665598024582e-05
2008-01-31,-0.007829844022262833,6.130645741296502e-05
2008-02-01,-0.014390149237481609,0.00020707639507699252
2008-02-04,0.07819069905739973,0.00611378541908485
2008-02-05,-0.015633417495548585,0.0002444037425901246
2008-02-13,-0.023976946427374912,0.0005748939599812065
2008-02-14,0.013622846522405752,0.0001855819473730225
2008-02-15,-0.012197366010331834,0.00014877573758999833
2008-02-18,0.015669779410014684,0.0002455419867585201
2008-02-19,0.02082816962738221,0.0004338126500270068
2008-02-20,-0.021074470275019408,0.0004441332973726766
2008-02-21,-0.008763660771391457,7.680175011602551e-05
2008-02-22,-0.03527034205813173,0.0012439970288976162
2008-02-25,-0.04152313848942413,0.0017241710300118953
2008-02-26,0.010828609975536807,0.00011725879400229525
2008-02-27,0.022368051682475354,0.0005003297360698885
2008-02-28,-0.007999987069190695,6.399979310721832e-05
2008-02-29,0.011339085994441334,0.0001285748711893356
2008-03-03,0.020422687843449694,0.0004170861787509879
2008-03-04,-0.02343904586282619,0.0005493888709596696
2008-03-05,-0.009919298771928098,9.839248812677427e-05
2008-03-06,0.015792988907827876,0.0002494184986427743
2008-03-07,-0.013963395612773155,0.0001949764170388126
2008-03-10,-0.03651865385278796,0.0013336120792197452
2008-03-11,0.004710928607382314,2.219284834385307e-05
2008-03-12,-0.02325555744757324,0.0005408209521973791
2008-03-13,-0.024588831007632095,0.0006046106103218896
2008-03-14,-0.002163871712866694,4.68234078974464e-06
2008-03-17,-0.036655809571787046,0.0013436483753631147
2008-03-18,-0.04037191604990298,0.0016298916055404137
2008-03-19,0.024954656089729355,0.0006227348605566664
2008-03-20,0.011221612141591564,0.0001259245790563152
2008-03-21,-0.0019677322571638456,3.8719702358831226e-06
2008-03-24,-0.04591764915407559,0.002108430503836779
2008-03-25,0.0009457253357822992,8.943964107405427e-07
2008-03-26,-0.0062909280894754005,3.9575776226950615e-05
2008-03-27,-0.05568673061315188,0.0031010119663817466
2008-03-28,0.04825355631604644,0.0023284056971458653
2008-03-31,-0.0304674488458776,0.0009282654391761681
2008-04-01,-0.04221551218695829,0.001782149469207224
2008-04-02,0.005607286412660173,3.144166091360339e-05
2008-04-03,0.028957035247731966,0.0008385098903383914
2008-04-07,0.043542786389268784,0.001895974246541491
2008-04-08,0.0035831205072565098,1.2838752569522148e-05
2008-04-09,-0.05655346600010169,0.0031982945166246584
2008-04-10,0.016799390093181543,0.0002822195075028862
2008-04-11,0.00607355934043774,3.688812306181851e-05
2008-04-14,-0.05781685790058866,0.003342789057496861
2008-04-15,0.015555108389522232,0.00024196139700978492
2008-04-16,-0.017095118204725424,0.0002922430664335346
2008-04-17,-0.02114122525460793,0.0004469514052660722
2008-04-18,-0.040551609098384844,0.0016444330004682084
2008-04-21,0.0071829912752576774,5.159536366042791e-05
2008-04-22,0.00983795048953695,9.678526983458033e-05
2008-04-23,0.040632574038022895,0.0016510060729554121
2008-04-24,0.08887410657713879,0.007898606819884624
2008-04-25,-0.007080211467647146,5.012939442660215e-05
2008-04-28,-0.023613565688485494,0.0005576004845244194
2008-04-29,0.013913375777152126,0.00019358202551624353
2008-04-30,0.04703998681629784,0.0022127603596774747
2008-05-05,0.01821943405589188,0.00033194777731699286
2008-05-06,-0.0073403374370730745,5.388055369009651e-05
2008-05-07,-0.04222243116303481,0.0017827336933172132
2008-05-08,0.02147460917505839,0.000461158839221502
2008-05-09,-0.011923941741372346,0.00014218038665164177
2008-05-12,0.003725726209790281,1.3881035790318252e-05
2008-05-13,-0.018572096547888606,0.00034492277018409586
2008-05-14,0.026932460843523742,0.0007253574470879396
2008-05-15,-0.00551301535763038,3.0393338333468425e-05
2008-05-16,-0.0036055667350769482,1.3000111481093445e-05
2008-05-19,-0.005387207983027054,2.9022009852390416e-05
2008-05-20,-0.045865236490174155,0.0021036199182996027
2008-05-21,0.028918279196602725,0.000836266871692666
2008-05-22,-0.016659711811998434,0.00027754599765884017
2008-05-23,-0.0036038270742349,1.2987569580988478e-05
2008-05-26,-0.031752534265379495,0.001008223432274099
2008-05-27,0.003223468362373083,1.0390748283220206e-05
2008-05-28,0.024471136903699175,0.0005988365413595876
2008-05-29,-0.016789057159254384,0.0002818724402967109
2008-05-30,0.009339636576010335,8.722881137195005e-05
2008-06-02,0.0074546243467210616,5.5571424150726416e-05
2008-06-03,-0.00656842053638762,4.3144148342838636e-05
2008-06-04,-0.019536901769880544,0.0003816905307659615
2008-06-05,-0.00543565791723033,2.9546376993148767e-05
2008-06-06,-0.006578070107448042,4.3271006338501494e-05
2008-06-10,-0.08043599213437425,0.0064699488306411155
2008-06-11,-0.015777387600829584,0.00024892595950681113
2008-06-12,-0.022304683486258803,0.0004974989054221861
2008-06-13,-0.03046131289241938,0.000927891583129875
2008-06-16,0.0018468016984556357,3.4106765134186207e-06
2008-06-17,-0.027997610585195787,0.0007838661984802672
2008-06-18,0.051045746171530126,0.0026056682022082825
2008-06-19,-0.06759738786989722,0.004569406846833327
2008-06-20,0.029698577863579878,0.0008820055271191167
2008-06-23,-0.025508195874108353,0.0006506680567518783
2008-06-24,0.015315295338241164,0.00023455827129755154
2008-06-25,0.0357411589580332,0.001277430443663397
2008-06-26,-0.0010897449339664078,1.1875440211054505e-06
2008-06-27,-0.054317897390575354,0.0029504339769330728
2008-06-30,-0.004495921994294605,2.0213314578781977e-05
2008-07-01,-0.03136952821326755,0.0009840473003229887
2008-07-02,4.525458533422011e-05,2.04797749377221e-09
2008-07-03,0.0193475849953737,0.0003743290451532096
2008-07-04,-0.01251993446211852,0.00015674875893574296
2008-07-07,0.044862344613026295,0.0020126299641779295
2008-07-08,0.008043066936824772,6.469092575024382e-05
2008-07-09,0.036827151396093605,0.0013562390799507992
2008-07-10,-0.01556140136160522,0.00024215721233696881
2008-07-11,-0.006565175103205867,4.3101524135754167e-05
2008-07-14,0.00754054653249181,5.6859842008674257e-05
2008-07-15,-0.0349322083338901,0.001220259179082301
2008-07-16,-0.02682996833185225,0.0007198472006881946
2008-07-17,-0.007824335525465465,6.122022641506092e-05
2008-07-18,0.03426530205944189,0.001174110925224793
2008-07-21,0.029453961119561,0.0008675358256326111
2008-07-22,-0.005361697004333976,2.8747794766283934e-05
2008-07-23,-0.002909238314045659,8.463667567911228e-06
2008-07-24,0.025207048953030053,0.0006353953169204535
2008-07-25,-0.015649817192496585,0.0002449167781585617
2008-07-28,0.01314521608935948,0.00017279670603595533
2008-07-29,-0.018320707554673632,0.0003356483253038755
2008-07-30,-0.004797987181801133,2.3020680996727982e-05
2008-07-31,-0.021721031749483366,0.0004718032202620644
2008-08-01,0.009359043086655028,8.759168749786527e-05
2008-08-04,-0.021675379943509654,0.00046982209569550057
2008-08-05,-0.018774276759186748,0.0003524734678305397
2008-08-06,0.010581021781812971,0.00011195802194720055
2008-08-07,0.0030141689387512827,9.085214391333034e-06
2008-08-08,-0.045705024507592285,0.002088949265239611
2008-08-11,-0.053460535094483674,0.0028580288125885206
2008-08-12,-0.005226433332533809,2.7315605379420454e-05
2008-08-13,-0.004446223747917699,1.976890561654731e-05
2008-08-14,-0.0037740306200566565,1.424330712112523e-05
2008-08-15,0.005535551153427853,3.0642326572216435e-05
2008-08-18,-0.054826685650374074,0.0030059654594049344
2008-08-19,0.010548649516775477,0.0001112740066277675
2008-08-20,0.073501498088687,0.0054024702212812584
2008-08-21,-0.036963254144040114,0.0013662821569168987
2008-08-22,-0.01095331093253904,0.00011997502038487925
2008-08-25,0.003381898379563708,1.1437236649695634e-05
2008-08-26,-0.026574696218178318,0.000706214479088461
2008-08-27,-0.0033830421263978394,1.1444974028982415e-05
2008-08-28,0.0034081472968514603,1.1615467997035917e-05
2008-08-29,0.019895708663816514,0.00039583922323546347
2008-09-01,-0.030593784162593174,0.0009359796293873369
2008-09-02,-0.008744715042547924,7.647004117536393e-05
2008-09-03,-0.012318659309227264,0.00015174936717681154
2008-09-04,0.00032454393408620774,1.0532876515215275e-07
2008-09-05,-0.033470710518088254,0.0011202884625856637
2008-09-08,-0.02716541016726559,0.0007379595095557768
2008-09-09,0.0010995058461018559,1.2089131056121579e-06
2008-09-10,0.0023181464845087874,5.37380312364045e-06
2008-09-11,-0.03394293327236131,0.0011521227191319723
2008-09-12,0.00033279999075919164,1.1075583384931805e-07
2008-09-16,-0.04576791376733702,0.0020947019306143976
2008-09-17,-0.02941665746569111,0.0008653397364538005
2008-09-18,-0.01736566890968394,0.00030156645668076343
2008-09-19,0.09034457846970412,0.008162142858868526
2008-09-22,0.07486689348963704,0.005605051740788658
2008-09-23,-0.015728413071525615,0.0002473829777485378
2008-09-24,0.006926188101023634,4.797208161076137e-05
2008-09-25,0.035752333841460704,0.0012782293751112564
2008-09-26,-0.0016191549041542075,2.621662603646621e-06
2008-10-06,-0.05375458934208144,0.0028895558753358154
2008-10-07,-0.0073410083210943,5.3890403170375754e-05
2008-10-08,-0.030879642895599524,0.0009535523453597501
2008-10-09,-0.008467445409094942,7.169763175600302e-05
2008-10-10,-0.03632702996155679,0.0013196531058278446
2008-10-13,0.035837655288235126,0.0012843375365583672
2008-10-14,-0.027500401400093466,0.0007562720771662626
2008-10-15,-0.011293274441531942,0.0001275380476117586
2008-10-16,-0.04340476758727707,0.0018839738493055382
2008-10-17,0.010784900212422954,0.00011631407259192069
2008-10-20,0.022207728778850466,0.0004931832175149832
2008-10-21,-0.00787129925577812,6.195735197401317e-05
2008-10-22,-0.03254116369545734,0.001058927334654551
2008-10-23,-0.010744702898132452,0.00011544864036913592
2008-10-24,-0.01934824252739098,0.0003743544888987409
2008-10-27,-0.06528892089322991,0.004262643191402433
