,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-01-03,0.008883559937672203,7.891763716621456e-05,0.00014179846637088405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-04,0.007809855422769019,6.099384172455465e-05,8.676861599762878e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-07,0.005908016414833739,3.4904657957944905e-05,7.505256421687632e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-08,-0.001263466239560529,1.596346938509224e-06,0.00025037650848600077,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-09,0.00910715069148793,8.29401937174691e-05,9.858412119949394e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-10,0.0038063457432926384,1.4488267917481988e-05,0.00010474137893790133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-11,0.005143861844851827,2.645931467892244e-05,9.539931588231565e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-14,0.0024074500499988716,5.795815743239569e-06,7.049192058695301e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-15,-0.009890691677801655,9.782578186533492e-05,0.0001039372808498979,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-16,-0.028541958336120388,0.0008146433856608321,0.000297657806350499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-17,-0.026620381678645444,0.000708644720716762,0.000641751553209211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-18,0.005590337570493986,3.12518741520766e-05,0.00028335532322886994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-21,-0.05272569684336048,0.002779999107617953,0.0004641050734054812,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-22,-0.07491001271808173,0.005611510005423166,0.00365295550839595,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-23,0.030943436956228254,0.0009574962906640725,0.0014303882658037363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-24,0.003116517290891352,9.71268002442477e-06,0.0005642516438942272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-25,0.009274895538542438,8.602368725087443e-05,0.0004381245166693673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-28,-0.07462359754512882,0.005568681310577355,0.0013673490453383107,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-29,0.008707726220398726,7.582449592941948e-05,0.0008662231860954664,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-30,-0.00903362351584569,8.160635382604025e-05,0.0008821628805238453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-31,-0.007830754778302307,6.13207203979044e-05,0.0006221451198194335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-01,-0.014388770514987215,0.00020703671693296543,0.0009473798882435497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-04,0.07819000473647009,0.006113676840689215,0.0009858929016693795,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-05,-0.015632547873238423,0.00024437655300909114,0.0006176353327592217,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-13,-0.023978038731101492,0.0005749463413902032,0.0006581427865496501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
2008-02-14,0.013623947877061227,0.0001856119557568811,0.0003062908987175904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-15,-0.012197577591225084,0.00014878089909395632,0.0002741388624146713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-18,0.01566889341069455,0.0002455142207157071,0.0002440229927694863,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-19,0.020829460507144404,0.0004338664250186884,0.00014349402129828256,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-20,-0.021074666404699016,0.00044414156406934934,0.0002291532152504827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-02-21,-0.00876387395010525,7.680548661333339e-05,0.0003787985227279468,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-22,-0.035272148813326965,0.0012441244819094827,0.0004799456393736485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-25,-0.041522709956753445,0.0017241354421526718,0.000679936085844643,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-26,0.010829561484031913,0.0001172794019364275,0.0012227409704224153,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-27,0.022368507925564884,0.0005003501468160591,0.0003450288696758207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-02-28,-0.00800137701633119,6.402203415747302e-05,0.0002482331678996169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-29,0.011339093861643335,0.00012857504960315754,0.0001754388560076104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-03,0.020424504295649015,0.0004171603757229851,0.0004315044130157937,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-04,-0.02343924980186074,0.0005493984312740287,0.0002865911878975972,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-05,-0.009921153223505286,9.842928128426932e-05,0.0004026477930807692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
