,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-03-06,0.006065263058440351,3.67874159680812e-05,0.0005477443470736407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-07,-0.008655529304636644,7.49181875434237e-05,0.0004183348568722785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-10,-0.04588000279865767,0.0021049746568048357,0.00040463244752784306,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-11,-0.003189690255075206,1.0174123923321733e-05,0.0010119178037274765,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-12,-0.03204588548402221,0.0010269387764550652,0.0007627159607766767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-13,-0.028654051920868895,0.0008210546914838504,0.0013669004944086454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-14,-0.009041801632907465,8.17541767688481e-05,0.0006102845907666263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-17,-0.04514085530023415,0.0020376968172366775,0.0007974818308925634,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-18,-0.055956111548093546,0.003131086419582688,0.0015385203915848928,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-19,0.043493958819967204,0.0018917244538330029,0.001704971210962351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-20,0.037940135666984176,0.0014394538944291649,0.0018487525777493522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-21,0.012495003504625402,0.00015612511258060108,0.000819564583625864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-24,-0.04630093727629081,0.002143776792663016,0.0010696239715453088,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-25,0.024810731678918785,0.0006155724064433041,0.001622634836660679,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-26,0.004592453949021191,2.1090633273880336e-05,0.0004642872089938024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-27,-0.028398136144941688,0.0008064541365066435,0.001063558125585618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-28,0.0433902850761303,0.0018827168389878555,0.0011196483579439553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-31,-0.02894865944544378,0.0008380248836882814,0.0009880690230273143,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-01,-0.06535126207885966,0.004270787455299801,0.001177728475513445,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-02,-0.009384197621651325,8.806316500220637e-05,0.002231376481032879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-03,0.024697518590398815,0.0006099674245230951,0.0011086915974683534,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-07,0.05711463286074547,0.0032620812868177466,0.000678144654708905,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2008-04-08,0.014527003843737063,0.00021103384067595142,0.0005858316563977577,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-09,-0.03853525940472302,0.001484966217389294,0.000598868370206255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-10,0.015768593460409264,0.0002486485397196618,0.001026581354655953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-11,0.0031133847946875903,9.69316487979189e-06,0.00041108720161697336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-04-14,-0.07673707343599467,0.005888578439521239,0.0010490188224602974,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-15,0.0038155009192966105,1.455804726515328e-05,0.001404205374661348,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-16,-0.02728540391407286,0.0007444932667541025,0.0009570957337636995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-17,-0.03375423410453671,0.001139348319983869,0.0012488517934157875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-18,-0.031816013939783616,0.0010122587430165053,0.0015013673147620183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-04-21,-0.01766397743095105,0.0003120160986811481,0.00445314734427317,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-22,0.007224661392733367,5.2195732239652035e-05,0.0025539252234770267,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-23,0.053097099522842583,0.00281930197773865,0.0003583458770442905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-24,0.0916150182588904,0.008393311570576822,0.0055059395018957295,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-25,0.014619331836099647,0.00021372486333399667,0.0007745365090453988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-04-28,-0.024913284461359098,0.0006206717426525967,0.0008355328069584902,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-29,0.007667072778641426,5.878400499298436e-05,0.0003648278763517597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-30,0.04730758578888583,0.0022380076731727924,0.00035153459447925757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-05,0.026011653098862553,0.0006766060969355659,0.0005316005995350928,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2008-05-06,-0.011480813146343749,0.00013180907050125946,0.0007815309558800702,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-07,-0.05423516025824071,0.0029414526082370525,0.0006016496105219303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-08,0.025734060943609194,0.0006622418926493922,0.0007907451886603015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-09,-0.017968579390787554,0.0003228698453230352,0.0006880681564864735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-05-12,0.006532711247379197,4.267631624163467e-05,0.0009588299593897305,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-05-13,-0.007002533080070705,4.9035469537484516e-05,0.0009070795072990958,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-14,0.034439269384664684,0.0011860632757495022,0.0003169241712168586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-15,-0.009069899447881724,8.22630759946852e-05,0.00039848334389009667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-16,-0.007167602145379703,5.1374520514451724e-05,0.0004484144877156383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-05-19,-0.008810569197944318,7.762612959176518e-05,0.0003287482361284615,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-05-20,-0.05832888906898326,0.0034022593000217548,0.0005886797814711234,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-21,0.01672823580306293,0.00027983387308287645,0.0012232531928395279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-22,-0.023467463454542425,0.0005507218409902844,0.0006647135601120238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-23,-0.012187400380508251,0.00014853272803481266,0.0006162195646033675,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-05-26,-0.02706614800858631,0.0007325763680227007,0.0005950386149146937,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-05-27,0.009058462486530416,8.205574261987881e-05,0.0004382260867650138,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-05-28,0.025938408029908544,0.000672801011126024,0.00019840351379644809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-05-29,-0.030217463473025674,0.0009130950987436408,0.0003164124357645018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-05-30,0.008426922392160918,7.101302100350309e-05,0.000289965020794364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-02,0.0007473816478569262,5.585793275533344e-07,0.00022499803339988452,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-06-03,-0.005461569162889646,2.9828737721027105e-05,0.00020970445313695947,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-06-04,-0.0017605334906800607,3.0994781718061194e-06,0.0002579447522816279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06-05,-0.00925013152322407,8.556493319694365e-05,0.00015217982784359766,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-06,-0.010705682598462829,0.00011461163989902983,0.000159102856038015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-10,-0.08610394302608881,0.007413889004639949,0.002671389258269216,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
2008-06-11,-0.029009023781657817,0.0008415234607647888,0.001056098459187549,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06-12,-0.01134166689143612,0.00012863340787629826,0.0008638525409979022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-13,-0.03979591519628123,0.0015837148663096071,0.0006123587750229588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-16,-0.011279850082534182,0.00012723501788444638,0.001043596376157992,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-06-17,-0.04111477315201384,0.001690424571341558,0.0006538954859550117,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-06-18,0.04900860871501678,0.0024018437281816186,0.0014379818813905969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06-19,-0.07783466916583315,0.0060582357241546975,0.0011671629391723005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-06-20,0.022889602245458107,0.0005239338909552808,0.002131242598370563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-06-23,-0.014488332011502791,0.00020991176447553652,0.0009785576898407654,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-06-24,0.030570718308700506,0.0009345688179099163,0.0006040194742545204,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-06-25,0.0468131092237698,0.002191467195196601,0.00048673406510970236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
