,open,close,high,low,volume,money
2018-01-02 09:35:00,3314.03,3323.31,3323.31,3314.03,978847900.0,12268536832.0
2018-01-02 09:40:00,3323.78,3323.03,3326.48,3322.9699,766535300.0,9063414784.0
2018-01-02 09:45:00,3323.08,3321.42,3324.44,3320.84,685625000.0,8380962816.0
2018-01-02 09:50:00,3321.25,3332.28,3332.57,3321.25,742270600.0,8257607680.0
2018-01-02 09:55:00,3333.11,3336.98,3337.28,3333.11,775807200.0,8336777216.0
2018-01-02 10:00:00,3337.11,3337.44,3339.9,3337.11,712722800.0,7938936832.0
2018-01-02 10:05:00,3337.56,3332.46,3337.65,3331.68,596542400.0,6683357184.0
2018-01-02 10:10:00,3331.94,3332.68,3332.76,3330.43,493424000.0,5854658560.0
2018-01-02 10:15:00,3332.4,3333.35,3333.35,3330.4,420528800.0,4889063424.0
2018-01-02 10:20:00,3332.98,3336.63,3337.08,3332.9699,406810000.0,4702044160.0
2018-01-02 10:25:00,3337.06,3338.75,3339.5,3336.58,413985200.0,4727447552.0
2018-01-02 10:30:00,3339.37,3342.27,3342.27,3339.16,440125600.0,5034672128.0
2018-01-02 10:35:00,3341.27,3338.8,3343.37,3338.78,426812800.0,4732485632.0
2018-01-02 10:40:00,3338.51,3339.04,3340.03,3337.9699,369547200.0,4104740864.0
2018-01-02 10:45:00,3338.55,3340.94,3340.94,3337.5,348718400.0,3874734080.0
2018-01-02 10:50:00,3340.1,3342.6,3343.12,3340.1,318650400.0,3564822528.0
2018-01-02 10:55:00,3343.34,3339.63,3343.34,3339.23,359319200.0,3718496256.0
2018-01-02 11:00:00,3339.58,3341.3,3341.51,3338.91,322508000.0,3446595584.0
2018-01-02 11:05:00,3341.16,3339.2199,3341.23,3339.03,348428800.0,3465871360.0
2018-01-02 11:10:00,3340.19,3344.01,3344.16,3339.19,354136800.0,3522805760.0
2018-01-02 11:15:00,3343.57,3345.54,3346.37,3343.57,354064800.0,3769909248.0
2018-01-02 11:20:00,3345.17,3346.77,3346.9899,3345.17,359788800.0,3793551360.0
2018-01-02 11:25:00,3346.61,3345.4699,3347.32,3344.68,324221600.0,3515703296.0
2018-01-02 11:30:00,3344.8,3342.98,3344.8,3342.23,322601600.0,3199787008.0
2018-01-02 13:05:00,3343.15,3340.55,3344.3,3339.37,455018400.0,4108558336.0
2018-01-02 13:10:00,3340.85,3341.26,3341.91,3339.95,264369600.0,2986336256.0
2018-01-02 13:15:00,3342.09,3341.62,3342.43,3340.51,308982400.0,3537928192.0
2018-01-02 13:20:00,3341.1,3343.4699,3343.4699,3341.0,308165600.0,3639967744.0
2018-01-02 13:25:00,3342.64,3343.37,3343.65,3342.26,306836000.0,3574628352.0
2018-01-02 13:30:00,3343.09,3343.57,3344.11,3342.51,336846400.0,3687694336.0
2018-01-02 13:35:00,3344.06,3346.17,3346.61,3343.56,383862400.0,4289806336.0
2018-01-02 13:40:00,3346.7199,3343.66,3346.7199,3343.36,371720000.0,4006903808.0
2018-01-02 13:45:00,3343.62,3344.41,3345.29,3343.59,316539200.0,3553755136.0
2018-01-02 13:50:00,3344.03,3340.63,3344.61,3340.37,325470400.0,3543236608.0
2018-01-02 13:55:00,3340.36,3341.12,3341.32,3340.0,314240000.0,3688611840.0
2018-01-02 14:00:00,3340.85,3338.42,3341.2399,3337.82,337430400.0,3757490176.0
2018-01-02 14:05:00,3337.7,3338.43,3339.26,3337.45,282446400.0,3246571520.0
2018-01-02 14:10:00,3339.41,3338.45,3339.57,3338.03,280300800.0,3168354304.0
2018-01-02 14:15:00,3338.93,3334.75,3338.93,3334.66,310137600.0,3518955520.0
2018-01-02 14:20:00,3335.33,3341.11,3341.11,3334.13,276227200.0,3256582144.0
2018-01-02 14:25:00,3341.27,3342.9899,3343.83,3340.73,321332800.0,3668459520.0
2018-01-02 14:30:00,3343.09,3346.61,3346.9,3343.09,320040000.0,3711451136.0
2018-01-02 14:35:00,3346.68,3345.12,3347.39,3345.12,357112000.0,4002021376.0
2018-01-02 14:40:00,3346.41,3344.41,3346.41,3343.8,329825600.0,3718365184.0
2018-01-02 14:45:00,3344.43,3345.87,3346.55,3343.9699,369473600.0,4279287808.0
2018-01-02 14:50:00,3345.59,3347.0,3347.16,3345.54,468264000.0,5273174016.0
2018-01-02 14:55:00,3347.05,3346.67,3348.13,3346.55,540910400.0,6380388352.0
2018-01-02 15:00:00,3347.28,3349.05,3349.05,3345.98,700312000.0,8342945792.0
2018-01-03 09:35:00,3347.7399,3349.2399,3349.85,3345.32,1079946400.0,13434126336.0
2018-01-03 09:40:00,3349.76,3349.69,3352.98,3348.81,876867600.0,10269765632.0
2018-01-03 09:45:00,3349.62,3351.87,3352.57,3348.9,791977600.0,9409511424.0
2018-01-03 09:50:00,3352.78,3358.13,3358.13,3352.11,732908400.0,8578179072.0
2018-01-03 09:55:00,3358.69,3361.84,3361.84,3357.29,768660400.0,8691314688.0
2018-01-03 10:00:00,3361.82,3360.35,3363.32,3359.71,684093600.0,7991017472.0
2018-01-03 10:05:00,3360.13,3362.39,3362.6,3359.7,619074000.0,7017254912.0
2018-01-03 10:10:00,3362.47,3367.27,3367.27,3361.85,699123600.0,7788425216.0
2018-01-03 10:15:00,3367.04,3368.08,3368.59,3366.84,684285200.0,7760863232.0
2018-01-03 10:20:00,3368.07,3369.62,3369.66,3367.2,518148800.0,6034104320.0
2018-01-03 10:25:00,3369.89,3373.74,3373.74,3369.89,601324800.0,6794248192.0
2018-01-03 10:30:00,3373.4,3370.5,3374.08,3369.97,561528000.0,6316654592.0
2018-01-03 10:35:00,3369.67,3372.41,3372.83,3368.38,475177600.0,5382651904.0
2018-01-03 10:40:00,3372.91,3376.67,3377.45,3372.83,436152800.0,5116583936.0
2018-01-03 10:45:00,3376.77,3377.96,3378.34,3376.5,475924800.0,5530607616.0
2018-01-03 10:50:00,3377.74,3374.19,3377.74,3374.03,402965600.0,4786618368.0
2018-01-03 10:55:00,3374.47,3373.72,3375.73,3373.66,362485600.0,4225318912.0
2018-01-03 11:00:00,3374.09,3376.02,3376.02,3373.76,358112000.0,4245856256.0
2018-01-03 11:05:00,3376.06,3374.34,3376.39,3374.34,343331200.0,3975790592.0
2018-01-03 11:10:00,3374.33,3371.42,3374.66,3371.02,339255200.0,3819266048.0
2018-01-03 11:15:00,3371.1,3372.52,3372.57,3370.69,285182400.0,3387326464.0
2018-01-03 11:20:00,3372.53,3376.17,3376.23,3371.54,318909600.0,3789504512.0
2018-01-03 11:25:00,3375.9,3376.59,3377.63,3375.07,271886400.0,3261857792.0
2018-01-03 11:30:00,3376.94,3378.79,3379.42,3376.93,327392800.0,3690840064.0
2018-01-03 13:05:00,3379.11,3376.54,3379.84,3376.38,389479200.0,4453957632.0
2018-01-03 13:10:00,3376.32,3375.92,3376.72,3374.95,273070400.0,3482451968.0
2018-01-03 13:15:00,3375.11,3375.61,3376.21,3374.84,285364800.0,3740106752.0
2018-01-03 13:20:00,3375.07,3373.94,3375.72,3372.59,282622400.0,3470622720.0
2018-01-03 13:25:00,3373.5,3371.58,3373.5,3371.02,306865600.0,3797467136.0
2018-01-03 13:30:00,3371.38,3372.59,3373.16,3371.01,322870400.0,3860398080.0
2018-01-03 13:35:00,3373.12,3372.05,3374.04,3372.05,320588800.0,4155113472.0
2018-01-03 13:40:00,3372.55,3368.49,3373.0,3368.49,324761600.0,4886020096.0
2018-01-03 13:45:00,3368.86,3365.56,3368.96,3365.56,342953600.0,5217681408.0
2018-01-03 13:50:00,3365.32,3364.14,3367.06,3363.62,356076800.0,5384028160.0
2018-01-03 13:55:00,3363.78,3367.62,3367.62,3363.78,279539200.0,4017242112.0
2018-01-03 14:00:00,3366.89,3367.56,3368.69,3366.89,253580800.0,3297378304.0
2018-01-03 14:05:00,3366.87,3367.75,3368.35,3366.69,258614400.0,3288956928.0
2018-01-03 14:10:00,3368.2,3370.49,3370.89,3367.51,267324800.0,3421536256.0
2018-01-03 14:15:00,3370.78,3370.74,3371.43,3369.63,245555200.0,2976186368.0
2018-01-03 14:20:00,3370.79,3373.94,3373.94,3370.58,267579200.0,3322642432.0
2018-01-03 14:25:00,3373.84,3375.68,3376.28,3373.34,317904000.0,3763224576.0
2018-01-03 14:30:00,3375.45,3373.36,3376.42,3373.25,323481600.0,3945218048.0
2018-01-03 14:35:00,3374.03,3370.94,3374.03,3370.79,352307200.0,4472668160.0
2018-01-03 14:40:00,3370.94,3367.92,3371.15,3367.54,376243200.0,4866555904.0
2018-01-03 14:45:00,3367.94,3364.39,3368.74,3364.22,438971200.0,5736939520.0
2018-01-03 14:50:00,3364.47,3363.5,3364.86,3362.74,514555200.0,6311428096.0
2018-01-03 14:55:00,3363.32,3366.29,3366.29,3363.31,540427200.0,6498041856.0
2018-01-03 15:00:00,3366.45,3369.11,3370.1,3365.53,728163200.0,8702967808.0
2018-01-04 09:35:00,3371.0,3367.25,3371.0,3365.8,1150378100.0,13469584384.0
2018-01-04 09:40:00,3367.04,3371.34,3371.34,3365.48,794532300.0,9524257792.0
2018-01-04 09:45:00,3371.39,3368.2,3373.19,3368.2,699838000.0,8359120896.0
2018-01-04 09:50:00,3368.99,3372.38,3372.38,3368.68,596342000.0,7378116608.0
2018-01-04 09:55:00,3373.4,3376.43,3376.91,3372.63,572553600.0,7009771520.0
2018-01-04 10:00:00,3376.82,3376.33,3377.46,3375.52,503360800.0,6303629312.0
2018-01-04 10:05:00,3377.63,3374.46,3377.88,3374.46,524300800.0,6361038848.0
2018-01-04 10:10:00,3374.28,3375.11,3375.68,3373.2,494292000.0,5956722688.0
2018-01-04 10:15:00,3374.91,3377.64,3378.11,3374.91,452432000.0,5580816384.0
2018-01-04 10:20:00,3377.67,3377.22,3378.55,3377.07,428096800.0,4942151680.0
2018-01-04 10:25:00,3377.43,3377.35,3378.16,3376.22,366760400.0,4419100672.0
2018-01-04 10:30:00,3377.19,3379.35,3380.6,3376.98,406344400.0,4623654912.0
2018-01-04 10:35:00,3379.79,3377.56,3379.95,3377.49,349981600.0,4179042304.0
2018-01-04 10:40:00,3378.1,3377.97,3378.42,3376.97,307141600.0,3724369920.0
2018-01-04 10:45:00,3377.95,3378.66,3379.42,3377.79,321662400.0,3807739904.0
2018-01-04 10:50:00,3378.32,3379.94,3380.14,3378.21,320137600.0,3836239872.0
2018-01-04 10:55:00,3379.38,3381.26,3382.01,3379.38,291284800.0,3712163840.0
2018-01-04 11:00:00,3381.64,3382.34,3382.57,3380.51,267672800.0,3227107328.0
2018-01-04 11:05:00,3382.38,3381.64,3384.02,3381.55,304122400.0,3587342336.0
2018-01-04 11:10:00,3381.97,3378.68,3381.97,3378.33,305869600.0,3538976768.0
2018-01-04 11:15:00,3378.49,3379.82,3380.51,3378.49,263637600.0,3565600768.0
2018-01-04 11:20:00,3380.06,3381.89,3382.37,3380.04,263782400.0,3543425024.0
2018-01-04 11:25:00,3381.29,3382.01,3382.99,3381.29,280302400.0,3453181952.0
2018-01-04 11:30:00,3382.38,3382.9,3383.16,3381.39,318504000.0,3897745408.0
2018-01-04 13:05:00,3382.94,3383.7,3385.46,3382.94,366361600.0,4051361792.0
2018-01-04 13:10:00,3384.31,3385.02,3385.53,3383.54,263056800.0,3014500352.0
2018-01-04 13:15:00,3385.29,3385.91,3386.05,3384.61,300979200.0,3435905024.0
2018-01-04 13:20:00,3385.64,3386.19,3387.6,3385.64,309277600.0,3737321472.0
2018-01-04 13:25:00,3385.9,3382.49,3386.62,3382.49,339350400.0,3802464256.0
2018-01-04 13:30:00,3382.31,3378.62,3382.84,3378.62,364278400.0,4012113920.0
2018-01-04 13:35:00,3379.31,3383.35,3383.35,3378.25,369149600.0,3983900672.0
2018-01-04 13:40:00,3383.47,3386.88,3387.15,3383.0,366035200.0,4087365632.0
2018-01-04 13:45:00,3386.17,3387.03,3388.0,3386.15,399798400.0,4255137792.0
2018-01-04 13:50:00,3387.27,3391.06,3392.8,3387.09,473105600.0,5206228992.0
2018-01-04 13:55:00,3391.41,3391.5,3391.64,3388.56,410049600.0,4718723072.0
2018-01-04 14:00:00,3391.28,3386.19,3392.18,3385.97,437464000.0,4889821184.0
2018-01-04 14:05:00,3386.2,3382.85,3386.72,3382.36,470582400.0,4952326144.0
