,lnR,lnR_2,CYBZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2010-08-02,0.026289320494394808,0.0006911283720570069,0.00011473193952168259,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2010-08-03,-0.0188677658721339,0.0003559925890056608,0.0002409246435084692,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-08-04,0.0024251941215114314,5.881566527013603e-06,0.00027788241615444225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-05,0.009501614454093144,9.028067723423174e-05,0.000294986865908761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-08-06,0.02405530199717365,0.0005786575541752266,0.0001539994977856989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010-08-09,0.020501479161056047,0.00042031064779121533,0.00019474479197947292,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2010-08-10,-0.037853222138659604,0.0014328664262787095,0.00037384798780829947,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-08-11,0.010652402882602274,0.00011347368717327324,0.0002970132849778053,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-12,-0.012883277590219677,0.00016597884146665653,0.00041554696215931916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-08-13,0.015437156194379575,0.0002383057913696717,0.00018572419492084437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010-08-16,0.02258929882428884,0.0005102764213730171,7.916445761045408e-05,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2010-08-17,0.0032600118609398265,1.062767733346835e-05,9.429136640874915e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-08-18,-0.006658268555375102,4.433254015549685e-05,0.00013966593127902552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-19,-0.0011655512739183749,1.3585097721327464e-06,0.00012523131182062423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-08-20,-0.029269899572824443,0.0008567270210032285,0.0002506541745353472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010-08-23,-0.0003324032433393853,1.1049191618254261e-07,0.00010983081031840866,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2010-08-24,0.009369267147675941,8.778316688451967e-05,0.00013287637225448506,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-08-25,-0.028366122820357553,0.0008046369238596095,0.00021025021774700574,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-26,0.0038334500750361045,1.4695339477794314e-05,0.00012941458353362822,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-08-27,0.019015908697116224,0.00036160478357706046,0.00012247739308859175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010-08-30,0.025166514242398463,0.0006333534391128447,8.94978312268767e-05,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2010-08-31,0.0006261893656835937,3.921131216952215e-07,0.0001176328527981,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2010-09-01,-0.029672326046204844,0.0008804469329922864,0.00027357069907335156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-09-02,0.019235532710013103,0.00037000571863798405,0.00013181933434635646,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2010-09-03,0.021233722890163342,0.00045087098777624667,0.0002591044205620943,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010-09-06,-0.02533900459688354,0.0006420651539608852,0.00015927636141835396,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2010-09-07,0.011663436677240568,0.0001360357551240005,0.00010660586739055733,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2010-09-08,0.0036164921998009802,1.3079015831221333e-05,5.419122864442641e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-09-09,-0.004389314713116654,1.9266083650782337e-05,0.00022658490980426133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2010-09-10,0.01274539307498923,0.00016244504463598343,0.00013827013350191914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010-09-13,0.007261920572307012,5.273549039849581e-05,5.7627723716116206e-05,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2010-09-14,-0.010862810745842388,0.00011800065729998886,8.702896242580684e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2010-09-15,-0.04068789847015264,0.0016555050819174494,0.00023990348524413003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-09-16,-0.0178340238094572,0.0003180524052362863,0.00024006434804742382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2010-09-17,-0.00038358089167989107,1.4713430046194033e-07,0.00018010318517356431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010-09-20,-0.023977116465739634,0.0005749021140116426,0.00016885297717282238,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2010-09-21,-0.015644364476574246,0.0002447461398758982,9.661515192340454e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2010-09-27,0.017198158583059175,0.000295776658648052,5.469257199246432e-05,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
2010-09-28,-0.009110760851791966,8.300596329854507e-05,7.491978897888576e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
