,id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,total_operating_revenue,operating_revenue,total_operating_cost,operating_cost,operating_tax_surcharges,sale_expense,administration_expense,exploration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,other_items_influenced_income,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,other_items_influenced_profit,total_profit,income_tax,other_items_influenced_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,interest_income,premiums_earned,commission_income,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,non_current_asset_disposed,other_earnings
0,294252,300018279,芜湖顺荣三七互娱网络科技股份有限公司,002555.XSHE,002555,,,2018-04-24,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,6188828116.75,6188828116.75,5039424012.89,1948197239.76,26508097.89,1908207466.32,776659541.86,,28555783.27,351295883.79,,256030245.92,-11139329.07,,,1517748711.05,,403057922.86,4187038.9,,,1916619595.01,80119872.98,,1836499722.03,1620582427.47,215917294.56,,0.76,0.76,-19783336.38,1816716385.65,1600113370.24,216603015.41,,,,,,,,,,,,111259077.18
0,296751,300018066,华油惠博普科技股份有限公司,002554.XSHE,002554,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,1485246073.8,1485246073.8,1490760165.13,1117284997.52,9007746.19,60730852.96,164961607.49,,99193034.92,39581926.05,-27246552.4,116731073.64,120208324.45,,,90695503.11,,2524771.9,5174606.48,,,88045668.53,-8252837.69,,96298506.22,88900249.42,7398256.8,,0.08,0.08,-107177679.65,-10879173.43,-18277430.23,7398256.8,,,,,,,,,,,,6725073.2
0,296747,300018065,江苏南方轴承股份有限公司,002553.XSHE,002553,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,389347225.41,389347225.41,305563088.32,227645743.63,4904141.74,18868352.98,49546667.6,,1836364.23,2761818.14,,9128375.83,-3527169.47,,,94157787.92,,1296.44,2164494.13,,,91994590.23,13448835.83,,78545754.4,78545754.4,,,0.2257,0.2257,22526.77,78568281.17,78568281.17,,,,,,,,,,,,,1245275.0
0,300359,300018064,宝鼎科技股份有限公司,002552.XSHE,002552,,,2018-04-28,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,238535904.12,238535904.12,511458217.55,188711136.58,4580264.86,5852254.96,55486740.65,,7697225.75,249130594.75,,111612902.13,,,,-159486787.51,,31560819.2,341167.12,,,-128267135.43,6811432.96,,-135078568.39,-135058581.91,-19986.48,,-0.45,-0.45,-62850160.91,-197928729.3,-197908742.82,-19986.48,,,,,,,,,,,,1103883.5
0,59134,300018063,深圳市尚荣医疗股份有限公司,002551.XSHE,002551,,,2018-04-04,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,2006477112.36,2006477112.36,1795437368.26,1533731866.04,19769663.31,69920904.94,153285633.51,,6812755.5,11916544.96,,-337252.55,-4610198.3,,,225410997.75,,712611.64,814978.17,,,225308631.22,36134266.95,,189174364.27,175160241.78,14014122.49,,0.26,0.26,-2769853.86,186404510.41,171338652.81,15065857.6,,,,,,,,,,,,14708506.2
0,291348,300017830,常州千红生化制药股份有限公司,002550.XSHE,002550,,,2018-04-20,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,1065466101.93,1065466101.93,856046715.42,513888273.09,16892463.48,248486909.85,163100901.37,,-89133573.34,2811740.97,,,,,,213044742.31,,1817420.91,1145837.79,,,213716325.43,38807270.66,,174909054.77,183004861.16,-8095806.39,,0.14,0.14,,174909054.77,183004861.16,-8095806.39,,,,,,,,,,,,3625355.8
0,290860,300017827,湖南凯美特气体股份有限公司,002549.XSHE,002549,,,2018-04-18,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,428285775.3,428285775.3,379978144.78,239447414.27,4941303.24,48490736.13,74680274.03,,3019762.15,9398654.96,,542179.45,,,,65788329.99,,380505.58,1664525.12,,,64504310.45,10384308.03,,54120002.42,51887485.84,2232516.58,,0.0832,0.0832,,54120002.42,51887485.84,2232516.58,,,,,,,,,,,,17802672.32
0,294250,300017829,深圳市金新农科技股份有限公司,002548.XSHE,002548,,,2018-04-24,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3061354021.55,3061354021.55,2983902308.9,2496147397.21,8864741.8,142429911.99,253708535.28,,55706829.75,27044892.87,142480.0,36534698.88,38658504.28,,,132739099.57,,9247825.79,16398067.96,,,125588857.4,19441739.23,,106147118.17,67657846.86,38489271.31,,0.18,0.18,,106147118.17,67657846.86,38489271.31,,,,,,,,,,,,17191414.84
0,58773,300017828,苏州春兴精工股份有限公司,002547.XSHE,002547,,,2018-03-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,3804480130.63,3804480130.63,4214565607.86,3525068924.99,23040431.15,91478104.08,375581054.27,,156938545.02,42458548.35,7837371.15,17469480.62,-7323330.48,,,-386286169.44,,19113444.93,5740828.15,,,-372913552.66,-10204139.8,,-362709412.86,-359140555.97,-3568856.89,,-0.32,-0.32,-2941136.81,-365650549.67,-362081692.78,-3568856.89,,,,,,,,,,,,785950.5
0,296737,300017608,南京新联电子股份有限公司,002546.XSHE,002546,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,621054006.76,621054006.76,571455296.26,405244630.09,8659782.7,34277775.64,113079589.74,,-5754893.32,15948411.41,,65550905.25,1311894.9,,,123936394.14,,6240681.3,780041.71,,,129397033.73,19183604.5,,110213429.23,112280542.77,-2067113.54,,0.13,0.13,,110213429.23,112280542.77,-2067113.54,,,,,,,,,,,,8847859.49
