,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-01-03,0.0030838118851566065,9.509895743033144e-06,0.00021665793613832084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-04,0.011717495391922128,0.0001372996982597163,9.209834590306521e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-07,0.013948412098752527,0.00019455820007662587,0.00011308357146478531,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-08,-0.005939694510765037,3.527997088121231e-05,0.0003225704041520924,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-09,0.017875066273040474,0.0003195179942655891,0.00013944027496324933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-10,0.018204994412467812,0.0003314218215579843,0.00015278456368024839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-11,0.0040736838287518395,1.6594899936634247e-05,0.0001839066965179616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-14,0.006527666864004189,4.261043468741828e-05,0.00010598771766657248,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-15,-0.0056115185436951265,3.148914036623427e-05,0.0001630300152905142,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-16,-0.03648988891375815,0.00133151199293841,0.000539663337532622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-17,-0.02435702410720353,0.0005932646233588938,0.000924639095090461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-18,0.01226314742334722,0.00015038478472674757,0.00046573372397163993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-21,-0.05209949169004702,0.0027143570343612783,0.0005426142986387712,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-22,-0.07321533351695741,0.0053604850619993075,0.004764077071958921,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-23,0.05346303343746328,0.002858295944335317,0.0019123758237525404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-24,0.012502183548750878,0.0001563045934866571,0.0007246002689577258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-25,0.01206566819081445,0.00014558034889083162,0.0004026216900428512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-28,-0.06671841233016274,0.004451346543857611,0.001441638724789044,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-29,0.0017354381981906641,3.011745739739259e-06,0.0009569180672075722,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-30,-0.004838314064823379,2.340928298986773e-05,0.0010338569481417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-31,-0.01688309319329484,0.00028503883577347857,0.000542123292149992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-01,-0.005110873984646602,2.612103288693744e-05,0.0012421914591167935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-04,0.0765296087113505,0.005856781009512415,0.0011341491855169294,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-05,-0.010151952077331217,0.00010306213098042961,0.00034211938518804053,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-13,-0.021414351271156207,0.00045857444036446945,0.0005255578062546898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
2008-02-14,0.01219623530184677,0.00014874815553801336,0.00035038854996508143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-15,-0.012572614111858726,0.0001580706256057092,0.00031276713125584824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-18,0.02184470367978797,0.000477191078857742,0.00031368960344359763,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-19,0.02466577805087411,0.000608400606854983,0.00011899610875959264,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-20,-0.01883189224216686,0.00035464016542058433,0.0003353923702432583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-02-21,-0.009178033745921965,8.423630344128238e-05,0.0004559698712759008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-22,-0.03788618075832595,0.0014353626924525475,0.0005358644450369517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-25,-0.043766591022611934,0.0019155144897405755,0.0008984477885392796,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-26,-0.01027103222486403,0.00010549410296419533,0.001459769187253852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-27,0.02728474775074119,0.0007444574598215764,0.0004262978551011345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-02-28,-0.006237509027435806,3.890651886734317e-05,0.00027603232856731534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-29,0.01076433102252139,0.00011587082236241638,0.000184783762587512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-03,0.022719765786174406,0.0005161877573786212,0.0005048582842077257,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-04,-0.027638985680299655,0.0007639135294358094,0.0003745882690314444,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-05,-0.009252496189768422,8.560868574167916e-05,0.0006649989569257506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-06,0.006065709803527497,3.6792835420609586e-05,0.0005477443470736407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-07,-0.008656040646053853,7.49270396661364e-05,0.0004183348568722785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-10,-0.04587987728808862,0.0021049631399700703,0.00040463244752784306,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-11,-0.0031894879823770594,1.0172833589727686e-05,0.0010119178037274765,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-12,-0.03204615986355286,0.0010269563620003861,0.0007627159607766767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-13,-0.02865355393426583,0.0008210261530638808,0.0013669004944086454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-14,-0.009042304974141047,8.176327924537591e-05,0.0006102845907666263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-17,-0.045140710557832975,0.0020376837496660534,0.0007974818308925634,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-18,-0.055956191618424356,0.003131095380437824,0.0015385203915848928,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-19,0.043493732240646565,0.0018917047442210586,0.001704971210962351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-20,0.037940368508328604,0.0014394715625477728,0.0018487525777493522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-21,0.012494858637488448,0.00015612149237081969,0.000819564583625864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-24,-0.04630094763922621,0.002143777752290367,0.0010696239715453088,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-25,0.024810588341129147,0.0006155652938329736,0.001622634836660679,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-26,0.004592752191207694,2.1093372689843074e-05,0.0004642872089938024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-27,-0.02839836708870358,0.0008064672533047626,0.001063558125585618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-28,0.043390224999598104,0.0018827116255157482,0.0011196483579439553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-31,-0.0289481439394077,0.0008379950375366667,0.0009880690230273143,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-04-01,-0.0653516531890741,0.004270838574545019,0.001177728475513445,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-04-02,-0.009383713834839824,8.805408533416432e-05,0.002231376481032879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-04-03,0.024697670728132337,0.0006099749393952449,0.0011086915974683534,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-04-07,0.057114461631931235,0.003262061727505345,0.000678144654708905,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
