,equity_series,return,drawdown
2015-04-01,1.018542039703609,,0.0
2015-04-02,1.0292680998029369,0.010530797631533417,0.0
2015-04-03,1.0409787868896774,0.0113776838988624,0.0
2015-04-07,1.0628372458131654,0.020997986893468434,0.0
2015-04-08,1.0592002011131427,-0.0034220147198925632,0.0034220147198925632
2015-04-09,1.0486766607063944,-0.009935364811759717,0.013323380567018872
2015-04-10,1.078357456249896,0.028303095373085174,0.0
2015-04-13,1.10504532007114,0.024748624555399168,0.0
2015-04-14,1.1092232772877595,0.003780801692685687,0.0
2015-04-15,1.0790776959324666,-0.02717719865111734,0.02717719865111734
2015-04-16,1.1080903364833372,0.026886516754291545,0.0010213821036937354
2015-04-17,1.108500672997584,0.0003703096225429192,0.0006514507087720389
2015-04-20,1.0833389874899395,-0.02269884549515222,0.023335509024938195
2015-04-21,1.125718885839355,0.03911970199430215,0.0
2015-04-22,1.1493974454392277,0.021034167497525402,0.0
2015-04-23,1.149920773766004,0.00045530667294668703,0.0
2015-04-24,1.1494402113066762,-0.0004179091901731491,0.0004179091901731491
2015-04-27,1.1603484336831267,0.009490030250507875,0.0
2015-04-28,1.1306462027980075,-0.025597682577844005,0.025597682577844005
2015-04-29,1.1469042169961308,0.01437940016770023,0.011586361731296457
2015-04-30,1.151013313804665,0.0035827724300259156,0.008045100598645716
2015-05-04,1.1560357641507177,0.004363503259098733,0.0037167021622288576
2015-05-05,1.1188314518901472,-0.03218266546269244,0.03577975424260982
2015-05-06,1.1087472221639476,-0.009013180411726274,0.04447044527426025
2015-05-07,1.0949286373117968,-0.012463241914763001,0.05637944127151295
2015-05-08,1.1249737501645913,0.027440247545775787,0.03048625955072015
2015-05-11,1.1617543820022258,0.03269465783735237,0.0
2015-05-12,1.1796466360164135,0.015401064365559991,0.0
2015-05-13,1.1878278717949244,0.006935327519890455,0.0
2015-05-14,1.18465742816322,-0.002669110320600132,0.002669110320600132
2015-05-15,1.1803845362052754,-0.0036068587056172774,0.00626634192242137
2015-05-18,1.1949566261153448,0.012345205704673123,0.0
2015-05-19,1.2265144944795163,0.02640921659789619,0.0
2015-05-20,1.2438043616310859,0.014096749145151133,0.0
2015-05-21,1.2802889533722066,0.029333063033543327,0.0
2015-05-22,1.3009239208860832,0.016117429943861783,0.0
2015-05-25,1.3338240911634116,0.025289849582379453,0.0
2015-05-26,1.3684984498613548,0.025996200644193612,0.0
2015-05-27,1.3843929373606902,0.011614545490311379,0.0
2015-05-28,1.3122837473745754,-0.05208722757831252,0.05208722757831252
2015-05-29,1.318662287690392,0.004860641098830776,0.047479763798572994
2015-06-02,1.3462731733721638,0.020938557157141213,0.027535364389535855
2015-06-03,1.3505921127742793,0.003208070611180114,0.024415629171621878
2015-06-04,1.3558795866871096,0.003914930246385895,0.02059628441036443
2015-06-05,1.3667648810554796,0.008028216130140597,0.012733419702948057
2015-06-08,1.377485081500426,0.007843485440354403,0.004989808654639494
2015-06-09,1.3709104554614724,-0.0047729199591709515,0.009738912656490295
2015-06-10,1.3968648503761638,0.018932232088021195,0.0
2015-06-11,1.4182934124983466,0.015340469134442314,0.0
2015-06-12,1.434341556172607,0.01131510837802674,0.0
2015-06-15,1.4043776864899002,-0.020890330865587003,0.020890330865587003
2015-06-16,1.3636204783262906,-0.029021543531838723,0.04930560475081558
2015-06-17,1.3823668831595102,0.013747523692390518,0.03623591102790458
2015-06-18,1.3281537040773044,-0.03921764890540291,0.07403247269684765
2015-06-19,1.2482023935875155,-0.060197332766791956,0.12977324806915913
2015-06-23,1.2735254761438168,0.020287641400461576,0.11211839978889782
2015-06-24,1.2994182253504656,0.020331551815556015,0.09406638902812692
2015-06-25,1.2546982238767876,-0.0344154026788539,0.125244459050032
2015-06-26,1.1647307815578283,-0.07170444701912182,0.18796832139076225
2015-06-29,1.1268582310101904,-0.03251614119529256,0.21437245810747074
2015-06-30,1.1886397760189604,0.0548263688444508,0.1712993527213117
2015-07-01,1.139674665293292,-0.041194238753867296,0.2054370450407943
2015-07-02,1.0935598424054855,-0.04046314645060489,0.237587562251534
2015-07-03,1.04191798585516,-0.0472236219251887,0.273591438962829
2015-07-06,1.0399365180478939,-0.0019017502664950836,0.27497288663736574
2015-07-07,1.0087419019283037,-0.0299966541978417,0.29672127424096406
